# FITOPT: [DEFAULT] NONE
# FITOPT:	 NONE
# ----------------------------------------
NVAR: 34
VARNAMES:  CID IDSURVEY TYPE FIELD CUTFLAG_SNANA zCMB zCMBERR zHD zHDERR VPEC VPECERR HOST_LOGMASS HOST_LOGMASS_ERR HOST_LOGsSFR HOST_LOGsSFR_ERR SNRMAX1 SNRMAX2 SNRMAX3 PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB PIa DISTCORR
# VERSION_SNANA		 = v10_45j
# TABLE NAME: FITRES
#

SN: asassn-15tg 150 1 NULL 1 0.0345 0.0001 0.0354 0.0001 273.5859 0.0000 10.1720 0.0040 -11.3920 0.0502 116.1845 105.8117 -99.0000 57361.1 0.5 1.70222e+00 2.54010e-01 -5.63014e-02 3.42734e-02 1.62421e+01 3.92007e-02 5.80771e-03 2.09688e-04 -6.99704e-04 -3.05176e-06 -5.91358e-06 7 14.9960 0.0592 1.0000 -0.0171
SN: asassn-15tz 150 1 NULL 1 0.0222 0.0000 0.0241 0.0000 540.2764 0.0000 10.3590 0.0050 -11.5490 0.0502 89.7423 66.9528 -99.0000 57376.1 0.2 -1.51101e+00 1.55690e-01 1.12220e-01 4.36402e-02 1.62444e+01 9.88737e-02 5.76595e-03 5.25082e-04 4.50120e-04 -7.77689e-06 -1.81825e-05 8 3.8971 0.9181 1.0000 -0.0116
SN: asassn-15uv 150 1 NULL 1 0.0210 0.0000 0.0216 0.0000 175.9074 0.0000 9.7700 0.0010 -999.0000 -999.0000 188.6718 104.7810 -99.0000 57392.5 0.2 2.70560e-01 1.47030e-01 2.70480e-01 3.12523e-02 1.63360e+01 4.05869e-02 5.28981e-03 1.97743e-04 9.44941e-05 -2.49231e-06 -5.33409e-06 18 17.8479 0.5326 1.0000 -0.0096
SN: asassn-16ad 150 1 NULL 1 0.0152 0.0000 0.0151 0.0000 -31.7609 0.0000 9.4570 0.0020 -9.1160 0.0500 179.8344 145.3632 -99.0000 57406.4 0.1 2.84500e-01 8.68979e-02 3.14729e-02 3.15621e-02 1.49117e+01 4.40431e-02 1.94456e-02 7.88817e-04 -1.87748e-04 -1.72207e-06 -2.02831e-05 10 16.2499 0.0927 1.0000 0.0012
SN: asassn-16av 150 1 NULL 1 0.0267 0.0001 0.0280 0.0001 379.9667 0.0000 10.7680 0.0010 -19.7760 0.0500 66.7675 58.3481 -99.0000 57409.5 0.4 7.34830e-01 2.28080e-01 1.57420e-01 3.58441e-02 1.64172e+01 4.30959e-02 4.93024e-03 1.95695e-04 -8.40631e-04 1.56166e-06 -5.94565e-06 6 17.0583 0.0091 1.0000 -0.0144
SN: asassn-16bc 150 1 NULL 1 0.0331 0.0001 0.0331 0.0001 -10.8504 0.0000 10.4610 0.0020 -10.7560 0.0500 106.1621 91.1750 -99.0000 57430.1 0.1 5.46850e-01 1.31300e-01 -1.20771e-01 3.33188e-02 1.59264e+01 4.66668e-02 7.76183e-03 3.33616e-04 -2.60013e-04 -4.00939e-06 -8.78854e-06 8 30.1484 0.0004 1.0000 -0.0163
SN: asassn-16br 150 1 NULL 1 0.0290 0.0001 0.0300 0.0001 295.6728 0.0000 10.2380 0.0020 -10.4200 0.0500 93.7645 86.7641 -99.0000 57439.7 0.1 8.10960e-01 1.01100e-01 -4.46189e-02 3.87726e-02 1.60323e+01 9.17901e-02 7.03306e-03 5.94587e-04 -5.20590e-04 4.41604e-09 -1.83389e-05 14 14.6419 0.4775 1.0000 -0.0151
SN: asassn-16cs 150 1 NULL 1 0.0184 0.0000 0.0189 0.0000 162.2991 0.0000 9.5170 0.0020 -8.9900 0.0500 164.1947 116.6006 -99.0000 57464.6 0.1 2.57300e-01 1.21290e-01 3.77351e-02 3.67321e-02 1.53164e+01 8.02647e-02 1.35012e-02 9.98097e-04 -9.39176e-05 -5.89430e-06 -2.88280e-05 7 14.9986 0.0592 1.0000 -0.0073
SN: asassn-16db 150 1 NULL 1 0.0359 0.0000 0.0365 0.0000 189.4281 0.0000 11.1610 0.0130 -10.9050 0.0517 92.4412 54.5088 -99.0000 57465.2 0.2 -1.05767e+00 1.58450e-01 3.13906e-02 3.59317e-02 1.68185e+01 4.30844e-02 3.41583e-03 1.35548e-04 -1.09569e-05 -3.76843e-06 -4.15288e-06 13 26.0408 0.0256 1.0000 -0.0173
SN: asassn-16dw 150 1 NULL 1 0.0356 0.0001 0.0346 0.0001 -283.1770 0.0000 10.3500 0.0010 -10.7760 0.0500 101.0914 85.9211 -99.0000 57482.5 0.3 -1.43443e-01 1.56510e-01 8.18369e-02 3.30085e-02 1.67281e+01 4.57566e-02 3.71116e-03 1.56401e-04 -5.39907e-04 1.43186e-06 -4.15664e-06 10 16.1091 0.1371 1.0000 -0.0169
SN: asassn-16fo 150 1 NULL 1 0.0299 0.0002 0.0308 0.0002 251.8387 0.0000 10.1720 0.0010 -10.0930 0.0500 138.4646 129.3380 -99.0000 57540.0 0.4 6.21240e-01 2.06050e-01 -1.17671e-01 3.11833e-02 1.58423e+01 3.80891e-02 8.37990e-03 2.93978e-04 -6.17580e-04 6.70105e-06 -7.59673e-06 10 15.6111 0.1113 1.0000 -0.0154
SN: asassn-16hc 150 1 NULL 1 0.0516 0.0000 0.0514 0.0000 -63.9433 0.0000 10.7600 0.0010 -110.0790 0.0500 85.6350 74.6026 -99.0000 57582.0 0.6 1.43402e+00 4.03580e-01 -7.91587e-02 3.36200e-02 1.69522e+01 3.61836e-02 3.02199e-03 1.00712e-04 -3.47400e-04 2.24096e-06 -2.84161e-06 7 17.3781 0.0264 1.0000 -0.0180
SN: asassn-16hz 150 1 NULL 1 0.0241 0.0001 0.0248 0.0001 205.3681 0.0000 10.1420 0.0020 -10.9210 0.0500 166.3505 140.5889 -99.0000 57605.3 0.5 -2.01650e-01 1.76040e-01 8.63137e-02 3.19723e-02 1.59845e+01 4.25149e-02 7.32969e-03 2.87014e-04 -6.25723e-04 1.13064e-05 -7.57069e-06 6 4.6603 0.5881 1.0000 -0.0122
SN: asassn-16jf 150 1 NULL 1 0.0104 0.0000 0.0112 0.0000 246.9688 0.0000 9.1170 0.0130 -7.9620 0.0517 278.2710 207.6750 -99.0000 57629.9 0.2 -2.03909e+00 2.50940e-01 4.77680e-03 4.63969e-02 1.45853e+01 5.42000e-02 2.60547e-02 1.30065e-03 3.14743e-03 -1.51890e-04 -5.18116e-05 4 7.2802 0.2006 1.0000 0.0100
SN: asassn-16lg 150 1 NULL 1 0.0209 0.0001 0.0212 0.0001 79.7893 0.0000 10.6410 0.0010 -10.9210 0.0500 126.2091 107.6765 -99.0000 57674.6 0.2 -1.32424e+00 1.75540e-01 -3.66027e-02 3.68554e-02 1.52250e+01 5.75409e-02 1.47131e-02 7.79754e-04 4.04460e-04 -2.12613e-05 -2.21695e-05 6 8.7570 0.2706 1.0000 -0.0093
SN: asassn-17aj 150 1 NULL 1 0.0217 0.0001 0.0218 0.0001 7.5439 0.0000 10.4760 0.0140 -10.7760 0.0519 151.4537 91.6074 -99.0000 57773.1 0.1 2.25240e-01 1.60340e-01 -7.79004e-02 3.63860e-02 1.52188e+01 7.98925e-02 1.48038e-02 1.08932e-03 5.84870e-04 -1.97328e-05 -3.11448e-05 6 15.9324 0.0141 1.0000 -0.0098
SN: asassn-17bs 150 1 NULL 1 0.0201 0.0000 0.0204 0.0000 70.6842 0.0000 10.7350 0.0120 -14.0000 0.0514 158.0247 131.4449 -99.0000 57791.1 0.1 -1.03399e+00 1.81210e-01 5.87282e-02 3.57262e-02 1.56414e+01 6.07067e-02 1.00201e-02 5.60253e-04 4.16239e-04 -1.12755e-05 -1.55680e-05 6 6.2892 0.5064 1.0000 -0.0086
SN: asassn-17eb 150 1 NULL 1 0.0497 0.0000 0.0509 0.0000 339.2845 0.0000 11.0260 0.0000 -11.9790 0.0500 72.9788 37.4883 -99.0000 57836.8 0.6 -1.49505e+00 2.11140e-01 4.83998e-02 4.19215e-02 1.75313e+01 5.91344e-02 1.77283e-03 9.65570e-05 -1.18209e-03 3.73926e-06 -3.36854e-06 4 1.9519 0.8558 1.0000 -0.0180
SN: at2016bln 150 1 NULL 1 0.0242 0.0000 0.0236 0.0000 -188.3660 0.0000 11.0240 0.2090 -999.0000 0.2149 114.6524 111.5999 -99.0000 57499.5 0.1 1.07462e+00 1.25520e-01 6.80486e-03 3.23375e-02 1.56481e+01 4.00601e-02 9.98248e-03 3.68320e-04 -9.53405e-05 -7.94026e-06 -1.00226e-05 16 31.1590 0.0191 1.0000 -0.0112
SN: at2016cvv 150 1 NULL 1 0.0441 0.0004 0.0443 0.0004 63.0465 0.0000 11.0500 0.0340 -35.9520 0.0605 47.2866 36.1065 -99.0000 57557.8 0.9 1.59575e+00 3.94000e-01 6.30575e-02 4.56699e-02 1.72136e+01 7.71590e-02 2.37645e-03 1.68885e-04 -4.25163e-03 1.24015e-05 -6.22501e-06 6 15.4917 0.0302 1.0000 -0.0184
