Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=40000; warmup=20000; thin=1; 
post-warmup draws per chain=20000, total post-warmup draws=80000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
outl_loglike[49]    5.93    0.02   1.34    3.3   5.21   6.01   6.75   8.21   5156    1.0
outl_loglike[50]     5.9    0.02   1.37   3.33   5.14   5.96   6.74   8.19   6071    1.0
outl_loglike[51]    6.19    0.01    1.1   4.08   5.49    6.2   6.91   8.25   5929    1.0
outl_loglike[52]    6.07    0.02   1.18   3.78   5.35    6.1   6.84   8.27   3732    1.0
outl_loglike[53]    4.74    0.05   4.62  -0.46   4.09   5.27   6.28   7.93  10232    1.0
outl_loglike[54]    6.25    0.02   1.07   4.23   5.56   6.25   6.95   8.31   4189    1.0
outl_loglike[55]    6.01    0.02   1.27   3.58   5.29   6.06   6.81   8.23   4786    1.0
outl_loglike[56]    6.21    0.02   1.08   4.11    5.5   6.22   6.93   8.28   4624    1.0
outl_loglike[57]    5.67    0.02   1.64   2.69   4.88   5.78   6.62   8.18   5190    1.0
outl_loglike[58]    6.25    0.02   1.05   4.24   5.56   6.25   6.96    8.3   4617    1.0
outl_loglike[59]    3.95    0.05   5.51  -7.16   3.44    4.9   6.07   7.92  14281    1.0
outl_loglike[60]    6.22    0.02   1.07   4.16   5.52   6.22   6.93   8.29   3568    1.0
outl_loglike[61]    6.18    0.02   1.07    4.1   5.49   6.19    6.9   8.23   4150    1.0
outl_loglike[62]    6.16    0.01   1.09   4.02   5.47   6.18   6.88   8.19   9119    1.0
outl_loglike[63]    6.17    0.02   1.09   4.07   5.46   6.18   6.89   8.28   4093    1.0
outl_loglike[64]    6.26    0.02   1.06   4.24   5.56   6.26   6.96    8.3   3967    1.0
outl_loglike[65]    5.95    0.02   1.37   3.42   5.21   6.01   6.77   8.25   4703    1.0
outl_loglike[66]    6.21    0.02    1.1   4.09   5.51   6.22   6.93   8.28   4234    1.0
outl_loglike[67]    5.59    0.02   2.14    2.3   4.89    5.8   6.62   8.04  11866    1.0
outl_loglike[68]    6.23    0.02   1.06   4.18   5.53   6.23   6.94   8.28   4439    1.0
outl_loglike[69]    6.13    0.02   1.43   3.92   5.43   6.16   6.89   8.25   4709    1.0
outl_loglike[70]     6.2    0.01    1.1   4.16   5.51   6.21   6.91   8.25   7335    1.0
outl_loglike[71]    5.88    0.03   1.75   3.05   5.16    6.0   6.77   8.23   4410    1.0
outl_loglike[72]    6.15    0.02   1.13   3.99   5.46   6.17   6.87   8.23   4902    1.0
outl_loglike[73]    6.16    0.02   1.09   4.01   5.45   6.17   6.88   8.23   3937    1.0
outl_loglike[74]    5.65    0.02   1.94   2.53   4.93   5.81   6.62    8.1   9019    1.0
outl_loglike[75]    5.55    0.03   1.83   2.51   4.76   5.68   6.54   8.16   4513    1.0
outl_loglike[76]    6.25    0.02   1.06   4.23   5.56   6.25   6.95   8.32   3894    1.0
outl_loglike[77]    6.16    0.02   1.12   3.95   5.46   6.18    6.9   8.26   4226    1.0
outl_loglike[78]    6.25    0.02   1.18   4.23   5.55   6.25   6.95   8.32   4426    1.0
outl_loglike[79]    6.26    0.02   1.05   4.24   5.57   6.27   6.96   8.32   4227    1.0
outl_loglike[80]    6.26    0.02   1.04   4.27   5.57   6.27   6.95    8.3   4479    1.0
outl_loglike[81]    6.21    0.02   1.07   4.15   5.51   6.22   6.92   8.27   4738    1.0
outl_loglike[82]    5.92    0.02   1.35   3.34   5.18   5.98   6.76   8.21   3977    1.0
outl_loglike[83]    6.27    0.02   1.06   4.29   5.58   6.27   6.97   8.32   4301    1.0
outl_loglike[84]     6.1    0.02   1.16   3.84   5.38   6.13   6.86   8.27   4217    1.0
outl_loglike[85]    6.21    0.02   1.08   4.12    5.5   6.21   6.92   8.31   3476    1.0
outl_loglike[86]    5.23    0.03   3.18   1.23   4.56   5.57   6.46   8.01   9021    1.0
outl_loglike[87]    6.25    0.02   1.05   4.25   5.56   6.26   6.95    8.3   4662    1.0
outl_loglike[88]    6.21    0.02   1.11   4.12    5.5   6.21   6.93   8.31   3705    1.0
outl_loglike[89]    6.21    0.02   1.08   4.13   5.51   6.22   6.93   8.29   4084    1.0
outl_loglike[90]    6.15    0.02   1.11   3.97   5.43   6.16   6.89   8.31   3392    1.0
outl_loglike[91]    6.14    0.02   1.11   3.95   5.45   6.16   6.87   8.19   5471    1.0
outl_loglike[92]     6.2    0.02    1.1   4.05   5.49   6.21   6.92    8.3   3956    1.0
outl_loglike[93]    6.23    0.02   1.07   4.16   5.54   6.24   6.94   8.29   4464    1.0
outl_loglike[94]    6.21    0.02   1.07   4.12    5.5   6.22   6.92   8.28   3725    1.0
outl_loglike[95]    6.23    0.02   1.08   4.15   5.52   6.23   6.94    8.3   4226    1.0
outl_loglike[96]    6.11    0.01   1.13    3.9    5.4   6.13   6.85   8.19   8877    1.0
outl_loglike[97]    5.67    0.02   1.85    2.6   4.91   5.81   6.64   8.13   8134    1.0
outl_loglike[98]    6.16    0.02    1.1   3.97   5.44   6.18    6.9    8.3   3313    1.0
