Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=40000; warmup=20000; thin=1; 
post-warmup draws per chain=20000, total post-warmup draws=80000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
outl_loglike[52]    5.75    0.09    1.3   3.25   4.95   5.75   6.53   8.52    200   1.02
outl_loglike[53]    4.65    0.11    2.9  -0.53   3.82   4.98   6.01   8.34    659   1.01
outl_loglike[54]    6.14    0.08   1.08   4.14    5.4   6.09   6.82    8.5    195   1.02
outl_loglike[55]    6.01    0.07   1.15   3.82   5.27    6.0   6.74   8.42    243   1.02
outl_loglike[56]    6.11    0.08   1.11   4.05   5.38   6.07    6.8   8.51    209   1.02
outl_loglike[57]    5.53    0.09   1.53    2.5   4.69    5.6   6.45   8.43    264   1.02
outl_loglike[58]    6.15    0.08   1.11   4.13   5.41   6.11   6.83   8.57    188   1.02
outl_loglike[59]    3.22    0.13   5.45  -9.27   2.62   4.26   5.55   8.19   1634    1.0
outl_loglike[60]    6.06    0.08   1.13   3.95   5.32   6.03   6.77   8.48    224   1.02
outl_loglike[61]    6.06    0.07    1.1   3.99   5.33   6.03   6.77   8.37    232   1.02
outl_loglike[62]    6.08    0.07    1.1   4.02   5.34   6.04   6.78   8.41    218   1.02
outl_loglike[63]    6.04    0.08   1.15   3.92   5.29    6.0   6.75   8.52    202   1.02
outl_loglike[64]    6.14    0.07   1.08   4.15   5.42   6.11   6.82   8.53    219   1.02
outl_loglike[65]    5.67    0.08   1.37   2.97   4.88    5.7   6.52   8.33    274   1.02
outl_loglike[66]    6.06    0.07   1.13   3.95   5.32   6.04   6.77   8.46    253   1.02
outl_loglike[67]    5.45    0.07   1.77   2.07   4.69    5.6   6.45   8.23    574   1.01
outl_loglike[68]    6.11    0.07    1.1   4.07   5.38   6.08   6.81   8.47    226   1.02
outl_loglike[69]     6.0    0.08   1.17   3.75   5.25   5.99   6.74   8.45    233   1.02
outl_loglike[70]     6.1    0.07   1.09   4.07   5.37   6.07    6.8   8.45    227   1.02
outl_loglike[71]    5.03     0.1   2.61   0.85   4.25   5.29   6.24   8.42    621   1.01
outl_loglike[72]    6.06    0.07   1.11   3.95   5.32   6.04   6.76    8.4    257   1.02
outl_loglike[73]    6.04    0.07   1.11   3.93    5.3   6.02   6.75   8.39    290   1.02
outl_loglike[74]    5.57    0.09   1.57   2.59   4.78   5.63   6.46   8.38    293   1.02
outl_loglike[75]    5.47    0.08   1.49    2.5   4.64   5.53   6.39   8.27    325   1.01
outl_loglike[76]    6.08    0.08   1.12   3.95   5.34   6.05   6.78   8.48    217   1.02
outl_loglike[77]    5.78    0.08   1.34   3.14    5.0   5.82   6.61   8.39    273   1.02
outl_loglike[78]    6.08    0.06    1.1   4.01   5.35   6.05   6.78   8.41    322   1.01
outl_loglike[79]    6.08    0.06    1.1   3.97   5.35   6.06   6.79   8.39    342   1.01
outl_loglike[80]    6.16    0.08   1.08   4.17   5.43   6.12   6.84   8.53    195   1.02
outl_loglike[81]    6.09    0.07    1.1   4.03   5.35   6.05   6.78   8.41    223   1.02
outl_loglike[82]    5.73    0.09   1.35   3.11   4.93   5.74   6.55   8.45    233   1.02
outl_loglike[83]    6.16    0.07   1.08   4.18   5.43   6.11   6.83   8.53    218   1.02
outl_loglike[84]    6.05    0.08   1.14   3.92   5.31   6.02   6.76    8.5    217   1.02
outl_loglike[85]    6.13    0.08   1.09   4.11   5.39   6.09   6.82   8.49    206   1.02
outl_loglike[86]    5.08     0.1   2.24   1.08   4.28    5.3   6.23   8.31    502   1.01
outl_loglike[87]    6.13    0.07   1.08   4.13    5.4    6.1   6.82   8.47    232   1.02
outl_loglike[88]     6.1    0.08   1.11   4.05   5.37   6.07    6.8   8.48    212   1.02
outl_loglike[89]    6.12    0.07    1.1   4.09   5.38   6.08   6.81   8.47    218   1.02
outl_loglike[90]    5.96    0.08   1.17   3.74    5.2   5.94    6.7   8.42    219   1.02
outl_loglike[91]    6.03    0.07   1.13   3.88   5.29   6.01   6.75    8.4    241   1.02
outl_loglike[92]    6.09    0.07   1.11   3.98   5.35   6.06   6.79   8.47    221   1.02
outl_loglike[93]    6.02    0.08   1.17   3.75   5.27   6.01   6.75   8.46    237   1.02
outl_loglike[94]    6.08    0.07    1.1   4.01   5.34   6.05   6.78   8.43    263   1.02
outl_loglike[95]    6.05    0.08   1.15    3.9    5.3   6.02   6.77   8.52    213   1.02
outl_loglike[96]    5.97    0.07   1.17   3.76   5.22   5.95    6.7   8.37    249   1.02
outl_loglike[97]    5.27     0.1   1.95   1.63   4.45   5.43   6.33   8.31    398   1.01
outl_loglike[98]    6.14    0.08   1.09   4.12    5.4    6.1   6.82   8.52    199   1.02
