Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=40000; warmup=20000; thin=1; 
post-warmup draws per chain=20000, total post-warmup draws=80000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
outl_loglike[48]    5.97  3.9e-3   1.02   3.95    5.3   5.98   6.65   7.96  67928    1.0
outl_loglike[49]     5.7  4.8e-3    1.2   3.16   4.99   5.75   6.49   7.84  61950    1.0
outl_loglike[50]     5.6  4.5e-3   1.16   3.23   4.87   5.63   6.37   7.75  66421    1.0
outl_loglike[51]     6.0  3.9e-3   1.02   4.02   5.33    6.0   6.68   7.97  68351    1.0
outl_loglike[52]    5.93  3.9e-3   1.04   3.91   5.25   5.94   6.63   7.93  69221    1.0
outl_loglike[53]    4.46  9.8e-3   2.08  -0.02   3.64   4.73   5.67   7.28  44673    1.0
outl_loglike[54]    6.09  3.8e-3   0.97   4.22   5.43   6.08   6.74   8.02  65479    1.0
outl_loglike[55]    5.77  4.5e-3   1.15   3.41   5.07   5.81   6.52   7.86  65794    1.0
outl_loglike[56]    6.03  4.0e-3   1.01   4.07   5.37   6.03    6.7    8.0  62544    1.0
outl_loglike[57]    5.29  5.3e-3   1.32    2.5   4.51   5.37   6.17    7.6  62381    1.0
outl_loglike[58]    6.08  3.8e-3   0.98   4.21   5.42   6.07   6.73   8.01  67528    1.0
outl_loglike[59]     3.7    0.02   2.87  -3.84   2.88   4.24   5.33    7.1  35295    1.0
outl_loglike[60]    6.05  3.8e-3   0.99   4.15   5.39   6.04   6.71    8.0  67897    1.0
outl_loglike[61]    6.02  3.9e-3    1.0   4.08   5.36   6.02   6.69   7.98  65166    1.0
outl_loglike[62]     6.0  4.1e-3   1.02   4.02   5.33    6.0   6.67   7.97  62521    1.0
outl_loglike[63]    5.97  3.6e-3   1.01   4.02    5.3   5.97   6.65   7.95  78186    1.0
outl_loglike[64]    6.09  3.8e-3   0.97   4.23   5.43   6.08   6.74   8.03  64954    1.0
outl_loglike[65]     5.7  4.7e-3   1.16   3.32   4.99   5.74   6.46   7.82  60883    1.0
outl_loglike[66]    6.03  3.9e-3   1.01   4.06   5.36   6.03    6.7   7.99  68310    1.0
outl_loglike[67]    5.33  6.3e-3   1.54    2.1    4.6   5.49   6.28   7.69  59953    1.0
