Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
outl_loglike[50]    2.38  7.5e-3   1.31  -0.63   1.66   2.51   3.26   4.55  30808    1.0
outl_loglike[51]    4.73  3.3e-3    0.6   3.67   4.31   4.69   5.11   6.01  33908    1.0
outl_loglike[52]     4.8  3.2e-3   0.58   3.78   4.38   4.75   5.16   6.05  33411    1.0
outl_loglike[53]    3.75  4.6e-3   0.82   2.08   3.22   3.77   4.31   5.34  32305    1.0
outl_loglike[54]    4.65  3.4e-3   0.62   3.53   4.22   4.62   5.04   5.95  33053    1.0
outl_loglike[55]    4.78  3.2e-3   0.59   3.75   4.37   4.74   5.15   6.04  33937    1.0
outl_loglike[56]     4.6  3.4e-3   0.63   3.46   4.17   4.57   5.01   5.92  33796    1.0
outl_loglike[57]    2.63  5.8e-3   1.13   0.14   1.97   2.71    3.4   4.62  37759    1.0
outl_loglike[58]    4.69  3.4e-3   0.61   3.59   4.26   4.65   5.07   5.98  33133    1.0
outl_loglike[59]    4.78  3.2e-3   0.59   3.76   4.37   4.74   5.16   6.05  32971    1.0
outl_loglike[60]    4.51  3.6e-3   0.67   3.24   4.07   4.49   4.94   5.87  34275    1.0
outl_loglike[61]    4.63  3.4e-3   0.63   3.48    4.2    4.6   5.04   5.95  34482    1.0
outl_loglike[62]    4.69  3.6e-3   0.62   3.54   4.26   4.66   5.08   5.99  29332    1.0
outl_loglike[63]    4.66  3.4e-3   0.62   3.54   4.23   4.63   5.06   5.96  33853    1.0
outl_loglike[64]    4.56  3.6e-3   0.65   3.35   4.13   4.54   4.98   5.91  33286    1.0
outl_loglike[65]    4.15  3.9e-3   0.76   2.63   3.66   4.15   4.64   5.62  37515    1.0
outl_loglike[66]    4.53  3.5e-3   0.65    3.3    4.1   4.51   4.95   5.87  34799    1.0
outl_loglike[67]    4.79  3.2e-3   0.59   3.77   4.37   4.74   5.16   6.05  33091    1.0
outl_loglike[68]    4.65  3.4e-3   0.63   3.51   4.22   4.62   5.05   5.95  33059    1.0
outl_loglike[69]    3.95  5.8e-3   1.09   1.39   3.41   4.09   4.65   5.67  35085    1.0
outl_loglike[70]    4.63  3.3e-3   0.62   3.52    4.2    4.6   5.03   5.93  34888    1.0
outl_loglike[71]    4.45  3.5e-3   0.67   3.18    4.0   4.43   4.88   5.82  36544    1.0
outl_loglike[72]    4.64  3.3e-3   0.61   3.54   4.21    4.6   5.03   5.94  34205    1.0
outl_loglike[73]    4.73  3.3e-3    0.6   3.68   4.31   4.69   5.11   6.01  33307    1.0
outl_loglike[74]     4.8  3.2e-3   0.58   3.78   4.38   4.75   5.16   6.06  33233    1.0
outl_loglike[75]    4.49  3.6e-3   0.66   3.22   4.05   4.46   4.91   5.84  34293    1.0
