Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
MB[1]             -19.52  1.9e-4   0.03 -19.57 -19.53 -19.52  -19.5 -19.47  18441    1.0
coeff_angles[1]     0.79  1.8e-4   0.02   0.75   0.78   0.79   0.81   0.84  16729    1.0
coeff_angles[2]    -0.08  1.7e-4   0.03  -0.13  -0.09  -0.08  -0.06  -0.02  24278    1.0
coeff_angles[3]     0.07  1.4e-4   0.02   0.03   0.06   0.07   0.09   0.12  25348    1.0
coeff_angles[4]    -0.03  1.3e-4   0.02  -0.06  -0.04  -0.03  -0.02 4.8e-3  16787    1.0
coeff_angles[5]    -0.07  1.3e-4   0.02  -0.11  -0.08  -0.07  -0.06  -0.04  18877    1.0
coeff_angles[6]    -0.04  1.4e-4   0.02  -0.06  -0.05  -0.04  -0.03-3.3e-3  11923    1.0
coeff_angles[7]     0.02  1.2e-4   0.02-6.5e-3   0.01   0.03   0.04   0.05  18001    1.0
coeff_angles[8]    -0.04  3.3e-4   0.03   -0.1  -0.06  -0.04  -0.02   0.02   9042    1.0
sigma_int[1]        0.12  7.7e-5   0.01    0.1   0.11   0.12   0.13   0.14  22500    1.0
outl_frac[1]        0.02 10.0e-5   0.02 3.1e-3   0.01   0.02   0.03   0.07  28909    1.0
coeff[1]            1.02  3.7e-4   0.05   0.93   0.98   1.01   1.05   1.11  16469    1.0
coeff[2]           -0.08  1.7e-4   0.03  -0.13  -0.09  -0.08  -0.06  -0.02  24277    1.0
coeff[3]            0.07  1.4e-4   0.02   0.03   0.06   0.07   0.09   0.12  25333    1.0
coeff[4]           -0.03  1.3e-4   0.02  -0.06  -0.04  -0.03  -0.02 4.8e-3  16782    1.0
coeff[5]           -0.07  1.3e-4   0.02  -0.11  -0.08  -0.07  -0.06  -0.04  18858    1.0
coeff[6]           -0.04  1.4e-4   0.02  -0.06  -0.05  -0.04  -0.03-3.3e-3  11926    1.0
coeff[7]            0.02  1.2e-4   0.02-6.5e-3   0.01   0.03   0.04   0.05  18002    1.0
coeff[8]           -0.04  3.3e-4   0.03   -0.1  -0.06  -0.04  -0.02   0.02   9034    1.0
outl_loglike[1]      5.2  4.7e-3   0.89   3.53   4.61   5.17   5.77    7.0  35382    1.0
outl_loglike[2]     4.95  4.6e-3   0.94   3.09   4.34   4.94   5.55   6.83  42960    1.0
outl_loglike[3]      5.2  4.1e-3   0.85   3.66   4.62   5.15   5.74   6.95  42662    1.0
outl_loglike[4]      5.3  4.1e-3   0.81   3.88   4.72   5.24   5.82   7.04  39571    1.0
outl_loglike[5]     5.01  5.4e-3   1.04   2.83   4.43   5.03   5.65   6.94  36654    1.0
outl_loglike[6]     5.33  4.3e-3   0.82    3.9   4.75   5.28   5.86   7.07  36328    1.0
outl_loglike[7]     4.99  5.3e-3   1.03   2.83    4.4   5.01   5.64   6.91  38236    1.0
outl_loglike[8]     5.06  4.5e-3    0.9   3.33   4.47   5.04   5.64   6.89  40648    1.0
outl_loglike[9]     5.07  5.1e-3   0.96   3.12   4.48   5.06   5.68   6.94  36299    1.0
