Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
MB[1]             -19.45  7.0e-5   0.01 -19.47 -19.46 -19.45 -19.45 -19.43  22849    1.0
coeff_angles[1]     0.74  1.5e-4   0.02    0.7   0.73   0.74   0.75   0.77  15150    1.0
coeff_angles[2]     0.05  5.1e-5 7.2e-3   0.03   0.04   0.05   0.05   0.06  19893    1.0
coeff_angles[3]    -0.04  1.2e-4   0.01  -0.07  -0.05  -0.04  -0.03  -0.01  13643    1.0
sigma_int[1]        0.12  5.9e-5 7.1e-3    0.1   0.11   0.12   0.12   0.13  14772    1.0
outl_frac[1]        0.05  1.0e-4   0.01   0.03   0.04   0.05   0.06   0.09  20871    1.0
coeff[1]            0.91  2.7e-4   0.03   0.85   0.89   0.91   0.94   0.98  15155    1.0
coeff[2]            0.05  5.1e-5 7.2e-3   0.03   0.04   0.05   0.05   0.06  19892    1.0
coeff[3]           -0.04  1.2e-4   0.01  -0.07  -0.05  -0.04  -0.03  -0.01  13642    1.0
outl_loglike[1]     3.31  5.7e-3   0.68   1.69   3.11   3.42   3.69   4.17  13856    1.0
outl_loglike[2]     3.98  2.7e-3    0.5   2.77   3.73   4.04   4.31   4.79  33140    1.0
outl_loglike[3]      3.6    0.01   1.45   1.19   3.48   3.87   4.15   4.64  11816    1.0
outl_loglike[4]     3.81  9.0e-3   1.09   1.65   3.65   4.02   4.29   4.76  14648    1.0
outl_loglike[5]     3.86  8.9e-3   0.99   1.78   3.68   4.05   4.32   4.79  12493    1.0
outl_loglike[6]     3.96  6.1e-3    0.7   2.27   3.77   4.09   4.35   4.81  13300    1.0
outl_loglike[7]     3.57  9.2e-3   1.03   1.44   3.39   3.77   4.05   4.53  12308    1.0
outl_loglike[8]     3.71    0.01   1.21   1.42   3.56   3.94   4.22   4.69  11085    1.0
outl_loglike[9]     3.68    0.01   1.22   1.43   3.53   3.91   4.18   4.67  11760    1.0
outl_loglike[10]    3.98  5.1e-3   0.65   2.39   3.78    4.1   4.35   4.82  16661    1.0
outl_loglike[11]    3.58    0.01   1.65   0.14   3.42   3.97   4.28   4.78  16165    1.0
outl_loglike[12]    3.66    0.01   1.37   1.25   3.53   3.92   4.19   4.68  11229    1.0
outl_loglike[13]    3.64    0.01   1.13   1.42   3.48   3.87   4.14   4.62  11488    1.0
outl_loglike[14]    3.74  9.2e-3   1.05   1.57   3.57   3.95   4.22   4.69  13023    1.0
outl_loglike[15]    3.86  7.8e-3   0.87   1.84   3.68   4.04   4.31   4.78  12586    1.0
outl_loglike[16]    4.05  3.8e-3   0.53    2.7   3.85   4.13   4.38   4.83  19450    1.0
outl_loglike[17]    3.66    0.02   1.69   0.85   3.57   3.98   4.26   4.74  11603    1.0
outl_loglike[18]    3.44  8.4e-3   0.96   1.42   3.26   3.62   3.89   4.38  12992    1.0
outl_loglike[19]    3.76    0.01   1.14   1.66    3.6   3.98   4.25   4.72  12571    1.0
