# FITOPT: ->FITOPT000
# FITOPT:	 NONE
# ----------------------------------------
NVAR: 34
VARNAMES:  CID IDSURVEY TYPE FIELD CUTFLAG_SNANA zCMB zCMBERR zHD zHDERR VPEC VPEC_ERR HOST_LOGMASS HOST_LOGMASS_ERR SNRMAX1 SNRMAX2 SNRMAX3 PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB PIa DISTCORR
# VERSION_SNANA		 = v10_45j
# TABLE NAME: FITRES
#

SN: 2005lu 5 1 NULL 1 0.0315 0.0000 0.0319 0.0000 110.0500 0.0000 10.1130 4.4740 70.7107 67.2675 67.2674 53711.4 0.1 1.00760e+00 1.09500e-01 1.61000e-01 2.43126e-02 1.69875e+01 2.82266e-02 2.88167e-03 7.49167e-05 -1.21399e-04 -2.85207e-06 -1.38869e-06 32 24.2304 0.8663 1.0000 -0.0016
SN: 2005m 5 1 NULL 1 0.0256 0.0000 0.0255 0.0000 -46.8246 0.0000 10.2320 0.0340 95.7826 92.8477 85.7493 53406.3 0.0 1.25090e+00 3.64570e-02 5.32632e-03 2.16039e-02 1.56794e+01 2.67800e-02 9.57874e-03 2.36263e-04 -1.86248e-04 1.05185e-06 -3.88762e-06 151 180.8781 0.0489 1.0000 0.0023
SN: 2006ax 5 1 NULL 1 0.0177 0.0000 0.0175 0.0000 -56.5091 0.0000 12.0000 1.0000 98.0581 98.0581 95.7826 53827.5 0.0 1.81900e-01 2.78713e-02 -9.62639e-02 2.16658e-02 1.47515e+01 3.37388e-02 2.24245e-02 6.96833e-04 -1.49171e-04 2.26459e-06 -1.08817e-05 86 75.8942 0.7739 1.0000 0.0067
SN: 2006bd 5 1 NULL 1 0.0268 0.0000 0.0279 0.0000 327.1227 0.0000 11.6210 0.0210 85.7493 55.4701 44.7214 53813.2 0.4 -2.67741e+00 1.51900e-01 1.12500e-01 5.61382e-02 1.72849e+01 8.10662e-02 2.18667e-03 1.63267e-04 4.85565e-03 -1.87075e-05 -7.46687e-06 20 15.7041 0.7860 1.0000 0.0006
SN: 2006bh 5 1 NULL 1 0.0104 0.0000 0.0108 0.0000 118.2682 0.0000 10.9150 0.3520 99.5037 98.0581 95.7826 53833.6 0.1 -1.68521e+00 3.85618e-02 -6.03522e-02 2.26624e-02 1.40910e+01 2.60222e-02 4.11300e-02 9.85776e-04 -1.21344e-04 1.04732e-06 -1.74017e-05 78 41.8312 0.9997 1.0000 0.0086
SN: 2006ef 5 1 NULL 1 0.0168 0.0000 0.0174 0.0000 176.5276 0.0000 10.5640 0.1020 89.4427 85.7493 85.7493 53970.2 0.2 -1.46318e+00 7.34520e-02 -1.54038e-02 2.67997e-02 1.52588e+01 3.43152e-02 1.40528e-02 4.44145e-04 -6.00884e-06 -1.43700e-05 -7.94607e-06 28 17.1789 0.9593 1.0000 0.0068
SN: 2006ej 5 1 NULL 1 0.0192 0.0000 0.0203 0.0000 342.4995 0.0000 10.6550 0.4050 85.7493 85.7493 81.9232 53975.9 0.2 -1.48275e+00 4.73219e-02 -3.13782e-02 2.48148e-02 1.54298e+01 3.30255e-02 1.20155e-02 3.65481e-04 -1.44176e-04 -2.08384e-07 -6.79483e-06 35 18.3446 0.9936 1.0000 0.0058
SN: 2006eq 5 1 NULL 1 0.0483 0.0000 0.0482 0.0000 -47.6253 0.0000 10.6340 0.5000 67.2673 60.9711 52.9999 53974.4 0.3 -2.09325e+00 7.15728e-02 9.50679e-02 2.95748e-02 1.79670e+01 4.80015e-02 1.17913e-03 5.21303e-05 2.22802e-05 -8.24507e-07 -1.10934e-06 48 56.7552 0.2084 1.0000 -0.0109
SN: 2006et 5 1 NULL 1 0.0216 0.0000 0.0222 0.0000 187.6983 0.0000 10.9450 3.2110 92.8477 92.8477 89.4428 53994.2 0.0 7.56700e-01 3.92790e-02 1.44200e-01 2.19358e-02 1.57105e+01 2.39062e-02 9.28972e-03 2.04545e-04 -1.86784e-04 5.48999e-07 -3.59650e-06 63 76.4300 0.1192 1.0000 0.0045
SN: 2006ev 5 1 NULL 1 0.0276 0.0000 0.0281 0.0000 148.8452 0.0000 10.8610 3.6860 81.9233 81.9232 78.0868 53989.5 0.2 -1.29742e+00 5.25113e-02 8.91528e-02 2.77278e-02 1.68199e+01 5.67738e-02 3.35659e-03 1.75518e-04 -1.74116e-04 5.84841e-07 -3.63480e-06 39 16.0394 0.9997 1.0000 0.0004
SN: 2006gj 5 1 NULL 1 0.0273 0.0000 0.0274 0.0000 8.2373 0.0000 10.5670 3.9490 78.0870 74.3294 70.7107 53999.7 0.1 -2.05822e+00 7.99011e-02 2.96300e-01 2.62303e-02 1.74688e+01 4.20685e-02 1.84550e-03 7.15068e-05 -2.68276e-04 7.85052e-08 -1.34240e-06 36 42.6960 0.2396 1.0000 0.0009
SN: 2006hb 5 1 NULL 1 0.0150 0.0000 0.0153 0.0000 103.3443 0.0000 10.9130 2.8860 92.8477 89.4427 89.4427 54000.3 0.2 -1.86766e+00 9.35932e-02 -3.55257e-03 2.94505e-02 1.50827e+01 4.16517e-02 1.65193e-02 6.33724e-04 2.06934e-04 -2.58089e-05 -1.41750e-05 31 39.2581 0.1766 1.0000 0.0073
