Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
MB[1]             -19.44  5.8e-5   0.01 -19.46 -19.45 -19.44 -19.44 -19.42  33105    1.0
coeff_angles[1]     0.72  1.2e-4   0.02   0.68   0.71   0.72   0.73   0.75  24882    1.0
coeff_angles[2]     0.04  4.2e-5 7.0e-3   0.03   0.04   0.04   0.05   0.06  27811    1.0
coeff_angles[3]    -0.04  1.0e-4   0.01  -0.07  -0.05  -0.04  -0.03  -0.01  19408    1.0
sigma_int[1]        0.13  5.1e-5 7.3e-3   0.12   0.12   0.13   0.13   0.14  20311    1.0
outl_frac[1]        0.06  8.7e-5   0.02   0.03   0.05   0.06   0.07   0.09  30116    1.0
coeff[1]            0.88  2.0e-4   0.03   0.81   0.86   0.88    0.9   0.93  25023    1.0
coeff[2]            0.04  4.2e-5 7.0e-3   0.03   0.04   0.04   0.05   0.06  27810    1.0
coeff[3]           -0.04  1.0e-4   0.01  -0.07  -0.05  -0.04  -0.03  -0.01  19407    1.0
outl_loglike[1]     3.22  5.3e-3   0.71   1.53   3.04   3.35   3.61   4.06  17869    1.0
outl_loglike[2]     3.82  2.1e-3   0.39   2.98    3.6   3.85   4.08   4.52  34777    1.0
outl_loglike[3]     3.46  9.3e-3    1.2   1.23   3.32    3.7   3.96   4.42  16700    1.0
outl_loglike[4]     3.62  7.9e-3   1.02   1.59   3.46   3.82   4.07   4.52  16737    1.0
outl_loglike[5]     3.67  6.6e-3   0.86    1.7   3.49   3.84    4.1   4.54  17339    1.0
outl_loglike[6]     3.79  4.2e-3   0.58   2.34   3.61    3.9   4.13   4.56  18827    1.0
outl_loglike[7]     3.41  8.2e-3    1.0   1.22   3.25   3.62   3.88   4.33  14764    1.0
outl_loglike[8]     3.53  8.7e-3   1.12   1.35    3.4   3.76   4.02   4.47  16324    1.0
outl_loglike[9]     3.53  8.1e-3   1.04   1.37   3.38   3.75   4.01   4.46  16559    1.0
outl_loglike[10]    3.81  3.8e-3   0.56   2.41   3.62    3.9   4.13   4.56  21152    1.0
outl_loglike[11]    3.34  9.7e-3   1.42  -0.02   3.13   3.72   4.03   4.51  21412    1.0
outl_loglike[12]     3.5  9.2e-3   1.16   1.25   3.37   3.74   3.99   4.44  15964    1.0
outl_loglike[13]    3.45  9.4e-3   1.11   1.18   3.31   3.68   3.94   4.39  13999    1.0
outl_loglike[14]    3.54  8.1e-3   1.06   1.34   3.38   3.75   4.01   4.47  16928    1.0
outl_loglike[15]    3.67  6.1e-3   0.81   1.84    3.5   3.84   4.08   4.54  17574    1.0
outl_loglike[16]    3.93  2.5e-3   0.39    3.0   3.74   3.97   4.18    4.6  24064    1.0
outl_loglike[17]    3.54    0.01   1.26   1.04   3.41    3.8   4.06   4.51  15545    1.0
outl_loglike[18]     3.3  8.2e-3   0.99   1.19   3.15   3.51   3.77   4.23  14650    1.0
outl_loglike[19]    3.46    0.01   1.22   1.12   3.33   3.71   3.98   4.43  14203    1.0
outl_loglike[20]    3.89  2.4e-3   0.42   2.87   3.69   3.93   4.15   4.58  29801    1.0
outl_loglike[21]    3.64  7.6e-3   0.98   1.59   3.48   3.83   4.09   4.54  16753    1.0
outl_loglike[22]    3.41  9.2e-3   1.07   1.24   3.26   3.62   3.88   4.34  13674    1.0
outl_loglike[23]    3.45    0.01   1.54   0.54   3.36   3.78   4.05   4.51  15166    1.0
outl_loglike[24]    2.88  4.0e-3   0.83   0.93   2.42   2.99   3.47   4.16  41913    1.0
outl_loglike[25]     3.5  2.1e-3   0.41   2.62   3.24   3.52   3.78   4.27  39548    1.0
outl_loglike[26]    3.91  2.8e-3   0.42    2.9   3.72   3.96   4.17    4.6  22827    1.0
outl_loglike[27]    3.49    0.01   1.25   1.12   3.37   3.75   4.01   4.46  14717    1.0
outl_loglike[28]    3.57  8.4e-3    1.1   1.42   3.42   3.79   4.05    4.5  17220    1.0
outl_loglike[29]    3.51  9.2e-3   1.14   1.26   3.37   3.74    4.0   4.45  15232    1.0
outl_loglike[30]    4.11  1.5e-3   0.26   3.67   3.92   4.09   4.28   4.67  31135    1.0
outl_loglike[31]    3.45  8.4e-3   1.07   1.33   3.29   3.66   3.92   4.38  16200    1.0
outl_loglike[32]    4.07  1.5e-3   0.27    3.6   3.88   4.06   4.24   4.64  32582    1.0
outl_loglike[33]    3.62  8.2e-3   0.99   1.57   3.47   3.83   4.08   4.52  14630    1.0
outl_loglike[34]    3.72  6.2e-3   0.75   1.94   3.55   3.87   4.11   4.56  14724    1.0
outl_loglike[35]    3.48    0.01    1.3   1.04   3.35   3.74    4.0   4.46  15016    1.0
outl_loglike[36]    3.19  5.4e-3   0.69   1.54   3.01   3.32   3.57   4.02  15930    1.0
outl_loglike[37]    3.82  3.4e-3   0.52   2.49   3.63   3.91   4.14   4.58  24171    1.0
outl_loglike[38]    3.13  7.0e-3   0.93    1.0   2.97   3.33   3.59   4.05  17635    1.0
outl_loglike[39]    3.37    0.02   1.89   0.12   3.31   3.75   4.02   4.48  15118    1.0
outl_loglike[40]    3.54  2.7e-3   0.55   2.24   3.24   3.61   3.92   4.42  41221    1.0
outl_loglike[41]    3.62  7.4e-3   1.01   1.46   3.46   3.82   4.08   4.53  18630    1.0
outl_loglike[42]    3.54  8.8e-3   1.06   1.39   3.39   3.76   4.01   4.46  14291    1.0
outl_loglike[43]    3.66  7.2e-3   0.91    1.7    3.5   3.84   4.09   4.55  15853    1.0
outl_loglike[44]    3.89  2.2e-3    0.4   2.99   3.68   3.92   4.14   4.58  33140    1.0
outl_loglike[45]    3.12    0.01   1.51   0.01   3.02   3.45   3.73    4.2  17857    1.0
outl_loglike[46]    1.76  3.7e-3   0.71   0.22   1.32   1.81   2.25   3.02  37474    1.0
outl_loglike[47]    3.35  8.8e-3   1.08   1.12    3.2   3.58   3.84   4.29  15101    1.0
outl_loglike[48]    3.16  5.2e-3   0.73   1.36   2.98    3.3   3.56   4.02  19201    1.0
outl_loglike[49]    3.82  2.2e-3   0.43   2.81   3.61   3.87    4.1   4.54  37090    1.0
outl_loglike[50]    3.93  2.4e-3   0.39   2.99   3.74   3.96   4.17    4.6  27641    1.0
outl_loglike[51]    3.22  6.7e-3   0.85   1.22   3.05   3.39   3.65   4.11  16261    1.0
outl_loglike[52]    3.63  7.7e-3   0.97    1.6   3.47   3.82   4.08   4.52  16201    1.0
outl_loglike[53]    3.63  7.4e-3   0.91   1.62   3.47   3.82   4.08   4.53  14793    1.0
outl_loglike[54]    3.19  7.8e-3   0.99   1.03   3.03   3.39   3.65   4.12  15973    1.0
outl_loglike[55]    3.42  9.3e-3   1.11   1.22   3.28   3.65   3.91   4.37  14244    1.0
outl_loglike[56]    3.41  9.0e-3   1.07   1.27   3.26   3.62   3.88   4.33  14053    1.0
outl_loglike[57]    4.09  1.5e-3   0.27   3.62    3.9   4.07   4.26   4.66  30995    1.0
outl_loglike[58]    3.85  2.4e-3   0.44   2.81   3.64    3.9   4.13   4.57  32437    1.0
outl_loglike[59]    3.85  3.4e-3   0.49   2.62   3.66   3.92   4.15   4.58  21032    1.0
outl_loglike[60]    3.31  5.1e-3   0.95   0.91   2.95   3.55   3.93   4.43  35433    1.0
outl_loglike[61]     3.6  7.6e-3   0.96   1.53   3.44    3.8   4.05    4.5  15980    1.0
outl_loglike[62]    3.59  2.7e-3   0.54   2.36   3.29   3.66   3.96   4.46  39088    1.0
outl_loglike[63]    4.02  2.0e-3   0.32   3.36   3.83   4.02   4.22   4.63  25737    1.0
