Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
MB[1]             -19.46  8.7e-5   0.01 -19.48 -19.46 -19.45 -19.45 -19.43  15734    1.0
coeff_angles[1]     0.74  2.0e-4   0.02    0.7   0.73   0.74   0.75   0.78   9597    1.0
coeff_angles[2]     0.04  7.4e-5 7.9e-3   0.03   0.04   0.04   0.05   0.06  11676    1.0
coeff_angles[3]    -0.04  1.6e-4   0.01  -0.07  -0.05  -0.04  -0.03  -0.01   8492    1.0
sigma_int[1]         0.1  9.3e-5 8.1e-3   0.09    0.1    0.1   0.11   0.12   7668    1.0
outl_frac[1]        0.07  1.2e-4   0.01   0.04   0.06   0.07   0.08   0.09  14853    1.0
coeff[1]            0.92  3.7e-4   0.04   0.85   0.89   0.91   0.94   0.99   9563    1.0
coeff[2]            0.04  7.4e-5 8.0e-3   0.03   0.04   0.04   0.05   0.06  11676    1.0
coeff[3]           -0.04  1.6e-4   0.01  -0.07  -0.05  -0.04  -0.03  -0.01   8492    1.0
outl_loglike[1]     3.01  5.2e-3   0.58   1.54   2.83   3.11   3.34   3.78  12574    1.0
outl_loglike[2]     3.88  3.9e-3    0.6   2.29   3.67    4.0   4.24   4.66  23395    1.0
outl_loglike[3]     3.44    0.02   1.66   0.82   3.37   3.76   4.01   4.44  10497    1.0
outl_loglike[4]     3.65    0.01   1.43   1.29   3.55   3.93   4.17   4.59  12933    1.0
outl_loglike[5]     3.69    0.01   1.35    1.4   3.57   3.96    4.2   4.62  11543    1.0
outl_loglike[6]      3.8  8.2e-3   0.91   1.83   3.65   3.99   4.23   4.65  12165    1.0
outl_loglike[7]      3.3  9.9e-3    1.1   1.01   3.17   3.53   3.77   4.22  12335    1.0
outl_loglike[8]     3.53    0.01   1.52   0.96   3.44   3.83   4.08   4.51  10977    1.0
outl_loglike[9]     3.52    0.01   1.51    0.9   3.44   3.83   4.08   4.51  10547    1.0
