Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
MB[1]             -19.53  2.2e-4   0.03 -19.58 -19.54 -19.53 -19.51 -19.48  12947    1.0
coeff_angles[1]      0.8  1.7e-4   0.02   0.76   0.79    0.8   0.82   0.84  16339    1.0
coeff_angles[2]    -0.05  1.8e-4   0.02   -0.1  -0.07  -0.05  -0.04-4.2e-3  18887    1.0
coeff_angles[3]     0.04  1.2e-4   0.02   0.01   0.03   0.04   0.06   0.08  19960    1.0
coeff_angles[4]    -0.03  1.1e-4   0.01  -0.06  -0.04  -0.03  -0.02-6.4e-3  13546    1.0
coeff_angles[5]    -0.05  7.0e-5   0.01  -0.08  -0.06  -0.05  -0.05  -0.03  29886    1.0
coeff_angles[6]    -0.04  6.1e-5 9.3e-3  -0.06  -0.04  -0.04  -0.03  -0.02  23290    1.0
coeff_angles[7]     0.01  6.7e-5   0.01  -0.01 3.7e-3   0.01   0.02   0.03  24829    1.0
coeff_angles[8]    -0.03  2.0e-4   0.02  -0.08  -0.05  -0.03  -0.02 9.1e-3  11667    1.0
sigma_int[1]        0.13  7.5e-5   0.01   0.11   0.12   0.12   0.13   0.15  19901    1.0
outl_frac[1]        0.05  1.1e-4   0.02   0.01   0.03   0.04   0.06   0.09  31216    1.0
coeff[1]            1.03  3.5e-4   0.04   0.95    1.0   1.03   1.06   1.12  16242    1.0
coeff[2]           -0.05  1.8e-4   0.02   -0.1  -0.07  -0.05  -0.04-4.2e-3  18883    1.0
coeff[3]            0.04  1.2e-4   0.02   0.01   0.03   0.04   0.06   0.08  19962    1.0
coeff[4]           -0.03  1.1e-4   0.01  -0.06  -0.04  -0.03  -0.02-6.4e-3  13545    1.0
coeff[5]           -0.05  7.0e-5   0.01  -0.08  -0.06  -0.05  -0.05  -0.03  29886    1.0
coeff[6]           -0.04  6.1e-5 9.3e-3  -0.06  -0.04  -0.04  -0.03  -0.02  23294    1.0
coeff[7]            0.01  6.7e-5   0.01  -0.01 3.7e-3   0.01   0.02   0.03  24829    1.0
coeff[8]           -0.03  2.0e-4   0.02  -0.08  -0.05  -0.03  -0.02 9.1e-3  11666    1.0
outl_loglike[1]     4.27  3.3e-3   0.65   2.96   3.88   4.27   4.66   5.58  38705    1.0
outl_loglike[2]     4.29  3.8e-3   0.66   2.89   3.91   4.29   4.68    5.6  30797    1.0
outl_loglike[3]     3.89  3.3e-3   0.69   2.52   3.45   3.89   4.32   5.27  43175    1.0
outl_loglike[4]     4.51  2.6e-3   0.52   3.68   4.14   4.46   4.82    5.7  39864    1.0
outl_loglike[5]     4.38  2.7e-3   0.55   3.49    4.0   4.33   4.71   5.61  40673    1.0
outl_loglike[6]      4.2  4.7e-3   0.78   2.49   3.84   4.25   4.65   5.56  27803    1.0
outl_loglike[7]     3.21  5.3e-3   1.03   0.91   2.65   3.31   3.89   4.98  37139    1.0
outl_loglike[8]     4.47  2.7e-3   0.54   3.59    4.1   4.42   4.79   5.68  39178    1.0
outl_loglike[9]     4.18  3.9e-3   0.76   2.49   3.81   4.22   4.62   5.55  37882    1.0
outl_loglike[10]    4.18  3.2e-3   0.65   2.87   3.78   4.17   4.59   5.49  40624    1.0
outl_loglike[11]    4.11  3.9e-3   0.77   2.38   3.72   4.16   4.57   5.51  38749    1.0
outl_loglike[12]    4.49  2.6e-3   0.53   3.64   4.12   4.44   4.81   5.69  40350    1.0
outl_loglike[13]    4.15  3.4e-3   0.69   2.72   3.75   4.16   4.58   5.53  41913    1.0
outl_loglike[14]    4.38  3.0e-3   0.59   3.28    4.0   4.35   4.73   5.63  37807    1.0
outl_loglike[15]    4.46  2.6e-3   0.53   3.58   4.08    4.4   4.77   5.65  40549    1.0
outl_loglike[16]     4.2  3.9e-3   0.75   2.52   3.83   4.24   4.64   5.58  36360    1.0
outl_loglike[17]    4.49  2.6e-3   0.53   3.63   4.12   4.44    4.8   5.69  41025    1.0
outl_loglike[18]    4.11  4.8e-3   0.87   2.16   3.76   4.19    4.6   5.52  33282    1.0
outl_loglike[19]    4.27  3.4e-3   0.68   2.84   3.89   4.28   4.67   5.59  38959    1.0
outl_loglike[20]    4.09  4.5e-3   0.85   2.12   3.71   4.16   4.59   5.52  35099    1.0
outl_loglike[21]    4.16  4.5e-3   0.82   2.27    3.8   4.22   4.63   5.55  34073    1.0
outl_loglike[22]     4.4  3.1e-3   0.58   3.33   4.02   4.37   4.74   5.64  34356    1.0
outl_loglike[23]    4.24  3.6e-3    0.7   2.71   3.87   4.25   4.65   5.56  38506    1.0
outl_loglike[24]    4.42  2.9e-3   0.56   3.44   4.05   4.38   4.76   5.66  37775    1.0
outl_loglike[25]    4.07  4.0e-3    0.8   2.27   3.66   4.13   4.56   5.51  40646    1.0
outl_loglike[26]    4.35  3.4e-3   0.61   3.15   3.98   4.34   4.72   5.62  33341    1.0
outl_loglike[27]    4.43  2.8e-3   0.56   3.47   4.06   4.39   4.76   5.66  38662    1.0
outl_loglike[28]    4.26  3.8e-3   0.69   2.78   3.89   4.27   4.67   5.58  33552    1.0
outl_loglike[29]    4.52  2.6e-3   0.52    3.7   4.15   4.46   4.83    5.7  40019    1.0
outl_loglike[30]    3.79  6.1e-3   1.13    1.1   3.37   3.97   4.45   5.42  34649    1.0
outl_loglike[31]    4.47  2.7e-3   0.53   3.62    4.1   4.41   4.78   5.67  39271    1.0
outl_loglike[32]    4.45  2.8e-3   0.54   3.53   4.08   4.41   4.77   5.66  37787    1.0
outl_loglike[33]    4.29  3.5e-3   0.66   2.89   3.91   4.29   4.68   5.59  35638    1.0
outl_loglike[34]    4.49  2.7e-3   0.53   3.64   4.12   4.43    4.8   5.69  37987    1.0
outl_loglike[35]     4.5  2.6e-3   0.52   3.67   4.13   4.45   4.81    5.7  39834    1.0
outl_loglike[36]    4.41  2.9e-3   0.57   3.39   4.03   4.37   4.74   5.64  37904    1.0
outl_loglike[37]    4.11  3.3e-3   0.68   2.68    3.7   4.12   4.54   5.44  44125    1.0
outl_loglike[38]    1.85    0.02   2.67  -5.62   1.08   2.58   3.54   4.84  20657    1.0
outl_loglike[39]    3.76  3.7e-3   0.74   2.27   3.29   3.76   4.24   5.24  39623    1.0
