Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
outl_loglike[38]    3.87  4.8e-3   0.88   2.18   3.31   3.83   4.41   5.72  33445    1.0
outl_loglike[39]    4.37  3.5e-3   0.68    3.3   3.89   4.28   4.75   5.94  37659    1.0
outl_loglike[40]    4.28  3.6e-3   0.72   3.05    3.8    4.2    4.7    5.9  40145    1.0
outl_loglike[41]    4.41  3.3e-3   0.66   3.42   3.94   4.31   4.78   5.95  40450    1.0
outl_loglike[42]    4.35  3.3e-3   0.67   3.26   3.89   4.27   4.73    5.9  41824    1.0
outl_loglike[43]    4.47  3.1e-3   0.63   3.56    4.0   4.36   4.82   5.99  41533    1.0
outl_loglike[44]    4.38  3.2e-3   0.66   3.37   3.92   4.29   4.75   5.91  43189    1.0
outl_loglike[45]    4.42  3.1e-3   0.65   3.46   3.95   4.32   4.78   5.95  42341    1.0
outl_loglike[46]   -0.03    0.02   2.98  -7.16  -1.63   0.59   2.11   4.14  23025    1.0
outl_loglike[47]    4.38  3.2e-3   0.66   3.35   3.91   4.28   4.75   5.92  42433    1.0
outl_loglike[48]    4.42  3.2e-3   0.65   3.49   3.95   4.32   4.78   5.94  41313    1.0
outl_loglike[49]    4.46  3.1e-3   0.64   3.55   3.99   4.36   4.81   5.97  42290    1.0
outl_loglike[50]    4.23  3.3e-3   0.68   3.14   3.76   4.15   4.62   5.81  43654    1.0
outl_loglike[51]    4.12  3.6e-3   0.73   2.92   3.62   4.04   4.55   5.77  42121    1.0
outl_loglike[52]   -2.48    0.02   2.66  -8.26  -4.05  -2.28  -0.66   2.12  24584    1.0
outl_loglike[53]    4.42  3.2e-3   0.65   3.46   3.95   4.32   4.78   5.95  41206    1.0
outl_loglike[54]    4.19  3.6e-3   0.72   3.01    3.7   4.11   4.61   5.84  40376    1.0
outl_loglike[55]    4.27  3.6e-3   0.72   2.96   3.81   4.21   4.69   5.87  40216    1.0
outl_loglike[56]    4.05  3.6e-3   0.76   2.74   3.54   3.98   4.49   5.72  43112    1.0
outl_loglike[57]    4.44  3.1e-3   0.64   3.51   3.97   4.33   4.79   5.96  42899    1.0
outl_loglike[58]    4.38  3.3e-3   0.67   3.34   3.91   4.29   4.77   5.94  40161    1.0
outl_loglike[59]    3.77  4.4e-3   0.91   1.89   3.22   3.77   4.32    5.6  43126    1.0
outl_loglike[60]    3.79  4.2e-3   0.83   2.27   3.25   3.74   4.29   5.58  40100    1.0
outl_loglike[61]    4.15  3.8e-3   0.75   2.77   3.66   4.09   4.59   5.81  38970    1.0
outl_loglike[62]    4.31  3.2e-3   0.67   3.26   3.83   4.21   4.69   5.87  43796    1.0
outl_loglike[63]    3.35  5.2e-3   1.16   0.72   2.75   3.46   4.07   5.33  49706    1.0
outl_loglike[64]    4.08  3.4e-3   0.72   2.84   3.59   4.01    4.5   5.71  44220    1.0
outl_loglike[65]    4.35  3.2e-3   0.66   3.34   3.88   4.26   4.72   5.88  43159    1.0
outl_loglike[66]    4.31  3.4e-3    0.7   3.12   3.83   4.23   4.71    5.9  42152    1.0
outl_loglike[67]    4.37  3.4e-3   0.68   3.28    3.9   4.28   4.76   5.94  40070    1.0
outl_loglike[68]    4.36  3.4e-3   0.68   3.24   3.89   4.27   4.74   5.92  39800    1.0
outl_loglike[69]    4.05  3.9e-3   0.76   2.66   3.57   3.99    4.5    5.7  37290    1.0
outl_loglike[70]    4.14  4.1e-3   0.82   2.44   3.69   4.12   4.62   5.81  39571    1.0
outl_loglike[71]    4.44  3.2e-3   0.64   3.49   3.97   4.34   4.79   5.96  41231    1.0
outl_loglike[72]    4.19  3.4e-3   0.71   2.99   3.71   4.12   4.61   5.81  42802    1.0
outl_loglike[73]    3.49  4.3e-3   0.92   1.71   2.91   3.47   4.06   5.37  44803    1.0
outl_loglike[74]    3.57  4.3e-3   0.88   1.95    3.0   3.53    4.1   5.42  41839    1.0
outl_loglike[75]    4.39  3.2e-3   0.66   3.35   3.93    4.3   4.76   5.94  42025    1.0
outl_loglike[76]    4.43  3.2e-3   0.65   3.48   3.96   4.33    4.8   5.96  41216    1.0
outl_loglike[77]    4.19  3.5e-3   0.71   3.02    3.7   4.11   4.61   5.81  40166    1.0
outl_loglike[78]    4.36  3.3e-3   0.67    3.3   3.89   4.27   4.74   5.93  41991    1.0
outl_loglike[79]    4.23  3.6e-3   0.72    3.0   3.75   4.16   4.65   5.86  39507    1.0
outl_loglike[80]    4.17  3.4e-3   0.73   2.86    3.7   4.11    4.6    5.8  45643    1.0
outl_loglike[81]    4.36  3.2e-3   0.66   3.34   3.89   4.26   4.73    5.9  42651    1.0
outl_loglike[82]    3.57  4.8e-3   1.04    1.3   2.99   3.63   4.22   5.48  46389    1.0
outl_loglike[83]    4.34  3.2e-3   0.67    3.3   3.87   4.25   4.72    5.9  44431    1.0
outl_loglike[84]    4.35  3.2e-3   0.67   3.29   3.88   4.26   4.72    5.9  42582    1.0
outl_loglike[85]    4.43  3.2e-3   0.64   3.49   3.97   4.33   4.79   5.96  41402    1.0
outl_loglike[86]    4.27  3.4e-3    0.7   3.05    3.8    4.2   4.67   5.85  43619    1.0
outl_loglike[87]    4.39  3.2e-3   0.65   3.39   3.93    4.3   4.76   5.92  41975    1.0
outl_loglike[88]    4.28  3.3e-3   0.68   3.19    3.8   4.19   4.67   5.86  41747    1.0
outl_loglike[89]    4.37  3.2e-3   0.66   3.31   3.91   4.28   4.75   5.92  43402    1.0
outl_loglike[90]    3.25  4.8e-3   1.07   0.94   2.64   3.31   3.93   5.19  49930    1.0
outl_loglike[91]    2.51  8.0e-3    1.2  -0.08   1.85   2.56   3.25   4.68  22564    1.0
outl_loglike[92]    3.68  4.3e-3   0.88   2.01   3.11   3.65   4.22   5.52  41555    1.0
outl_loglike[93]    4.15  3.7e-3   0.74   2.87   3.65   4.07   4.58   5.82  39377    1.0
outl_loglike[94]    4.15  3.3e-3   0.71   2.92   3.68   4.08   4.56   5.74  45017    1.0
outl_loglike[95]    4.49  3.0e-3   0.63   3.61   4.03   4.39   4.84   5.99  42233    1.0
outl_loglike[96]     4.2  3.7e-3   0.73   2.96   3.71   4.11   4.63   5.86  40081    1.0
outl_loglike[97]   -0.16    0.02   2.96  -6.96  -1.92   0.35   2.01   4.28  24488    1.0
outl_loglike[98]     4.3  3.4e-3   0.68   3.19   3.83   4.21   4.68   5.87  41285    1.0
outl_loglike[99]    4.32  3.3e-3   0.67   3.24   3.85   4.23    4.7   5.87  42555    1.0
outl_loglike[100]   1.05  8.9e-3   1.79  -2.94   0.08   1.21   2.22   4.09  40973    1.0
outl_loglike[101]    4.3  3.5e-3    0.7   3.07   3.83   4.22    4.7   5.89  41034    1.0
outl_loglike[102]  -7.76    0.02   3.94 -16.64  -9.88  -7.36  -5.16   -1.2  27600    1.0
outl_loglike[103]   3.94  3.9e-3   0.81    2.4   3.42   3.89   4.42   5.66  42881    1.0
outl_loglike[104]   3.89  3.7e-3   0.76    2.6   3.37   3.82   4.34    5.6  43382    1.0
outl_loglike[105]   4.02  3.7e-3   0.76   2.71   3.51   3.96   4.47   5.73  41994    1.0
outl_loglike[106]   4.47  3.1e-3   0.63   3.57    4.0   4.36   4.82   5.98  42103    1.0
outl_loglike[107]   0.35  9.9e-3   1.99   -4.1  -0.73   0.51   1.65   3.73  40000    1.0
outl_loglike[108]   4.42  3.2e-3   0.65   3.46   3.95   4.32   4.78   5.95  40704    1.0
outl_loglike[109]   3.44  5.3e-3    1.1   1.03   2.85   3.52   4.12   5.43  43079    1.0
outl_loglike[110]   4.46  3.1e-3   0.64   3.54   3.99   4.35   4.81   5.98  42338    1.0
outl_loglike[111]   3.48  5.3e-3   1.11   1.02   2.89   3.57   4.18   5.45  43316    1.0
outl_loglike[112]   4.04  4.5e-3   0.92   2.03   3.61   4.06   4.56   5.73  42127    1.0
outl_loglike[113]   3.36  5.0e-3   1.02   1.31   2.73   3.35    4.0   5.37  41471    1.0
outl_loglike[114]   2.89  5.1e-3   1.09   0.66   2.22    2.9   3.58   4.99  45185    1.0
outl_loglike[115]   4.03  3.4e-3   0.71   2.85   3.54   3.96   4.45   5.64  45028    1.0
outl_loglike[116]   4.29  3.5e-3   0.72   3.01   3.81   4.21    4.7   5.89  42179    1.0
outl_loglike[117]   3.98  4.6e-3   0.94   1.91    3.5    4.0   4.53   5.75  41557    1.0
outl_loglike[118]   4.46  3.1e-3   0.64   3.55   3.99   4.35   4.81   5.97  41982    1.0
outl_loglike[119]    2.2  7.4e-3   1.49  -1.16   1.39   2.32   3.17   4.78  40564    1.0
outl_loglike[120]  -2.47    0.02   4.23 -12.08   -5.0   -2.0   0.77   3.81  36699    1.0
outl_loglike[121]   4.46  3.1e-3   0.63   3.56    4.0   4.36   4.82   5.97  41860    1.0
outl_loglike[122]   4.43  3.2e-3   0.65   3.47   3.96   4.33   4.79   5.96  41379    1.0
outl_loglike[123]   4.33  3.3e-3   0.67   3.31   3.86   4.24    4.7   5.88  42016    1.0
outl_loglike[124]   4.44  3.2e-3   0.65    3.5   3.97   4.34    4.8   5.96  41387    1.0
outl_loglike[125]   3.48  4.3e-3   0.89   1.81   2.91   3.44   4.02   5.32  43012    1.0
outl_loglike[126]   4.28  3.5e-3   0.71   3.05   3.81   4.21   4.69   5.87  41111    1.0
outl_loglike[127]   1.35  8.4e-3   1.67   -2.4   0.45   1.48   2.43   4.22  39878    1.0
outl_loglike[128]   3.94  4.1e-3   0.86   2.24   3.42   3.91   4.46    5.7  42753    1.0
outl_loglike[129]   4.34  3.5e-3    0.7   3.18   3.85   4.26   4.74   5.94  40264    1.0
outl_loglike[130]   4.46  3.2e-3   0.64   3.54   3.99   4.35   4.81   5.98  41025    1.0
outl_loglike[131]   4.38  3.3e-3   0.67   3.32   3.91   4.29   4.77   5.94  40896    1.0
outl_loglike[132]   4.29  3.3e-3   0.68   3.25   3.81   4.19   4.67   5.85  42613    1.0
outl_loglike[133]   3.42  4.8e-3   0.96    1.6    2.8   3.39   4.03    5.4  41212    1.0
outl_loglike[134]   4.44  3.1e-3   0.64    3.5   3.97   4.34    4.8   5.95  41553    1.0
outl_loglike[135]   4.33  3.3e-3   0.68   3.22   3.86   4.24   4.72   5.89  41626    1.0
outl_loglike[136]   4.44  3.2e-3   0.64   3.51   3.97   4.34    4.8   5.96  41242    1.0
outl_loglike[137]   3.54  4.7e-3   0.96   1.63   2.95   3.55   4.14   5.44  40920    1.0
outl_loglike[138]   4.39  3.2e-3   0.65    3.4   3.92   4.29   4.75   5.91  42330    1.0
outl_loglike[139]   3.47  5.1e-3   1.03   1.46   2.83   3.48   4.13   5.49  40465    1.0
outl_loglike[140]   2.59  6.7e-3   1.35   -0.4   1.85   2.68   3.46   4.94  41214    1.0
outl_loglike[141]   3.64  4.7e-3   0.94   1.76   3.06   3.63   4.22   5.55  39976    1.0
outl_loglike[142]   4.43  3.1e-3   0.64    3.5   3.97   4.33   4.79   5.94  41707    1.0
outl_loglike[143]   4.43  3.2e-3   0.65   3.47   3.96   4.33   4.79   5.97  41435    1.0
outl_loglike[144]   4.36  3.3e-3   0.68   3.24   3.89   4.27   4.75   5.91  42311    1.0
outl_loglike[145]   4.42  3.2e-3   0.65   3.46   3.95   4.32   4.78   5.94  40846    1.0
outl_loglike[146]   4.19  3.7e-3   0.75   2.85    3.7   4.12   4.63   5.84  40081    1.0
outl_loglike[147]   3.56  4.3e-3   0.89   1.86   2.99   3.54   4.11   5.39  42580    1.0
outl_loglike[148]   3.78  8.0e-3   1.32   0.84   3.36   3.94   4.48   5.69  27573    1.0
outl_loglike[149]   3.95  4.2e-3   0.82   2.47    3.4   3.89   4.44   5.74  39105    1.0
outl_loglike[150]   -7.9    0.03   4.58 -18.26 -10.45  -7.43  -4.87-7.4e-3  29978    1.0
outl_loglike[151]    4.0  3.7e-3   0.74   2.75   3.49   3.93   4.44   5.68  41404    1.0
outl_loglike[152]   4.45  3.1e-3   0.64   3.53   3.99   4.35   4.81   5.97  41335    1.0
outl_loglike[153]   3.95  3.6e-3   0.77   2.54   3.46    3.9    4.4   5.59  45546    1.0
outl_loglike[154]   4.04  3.8e-3   0.77   2.64   3.53   3.98    4.5   5.74  40902    1.0
outl_loglike[155]    3.6  7.0e-3   1.35   0.42   3.01   3.77   4.41   5.75  37788    1.0
outl_loglike[156]   2.72  6.0e-3   1.22   0.18    2.0   2.75    3.5    5.0  41610    1.0
outl_loglike[157]   4.46  3.1e-3   0.64   3.55    4.0   4.36   4.81   5.98  41453    1.0
lp__              540.46    0.35  30.63 479.38 519.86 540.86 561.29 599.37   7715    1.0

Samples were drawn using NUTS at Mon Sep 16 15:30:35 2019.
For each parameter, n_eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor on split chains (at 
convergence, Rhat=1).
