Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
MB[1]             -19.52  4.8e-4   0.05 -19.62 -19.55 -19.52 -19.49 -19.43   9078    1.0
coeff_angles[1]     0.81  3.0e-4   0.03   0.74   0.79   0.81   0.83   0.87  11730    1.0
coeff_angles[2]    -0.05  2.9e-4   0.04  -0.13  -0.08  -0.05  -0.03   0.02  15743    1.0
coeff_angles[3]     0.04  2.5e-4   0.03  -0.01   0.02   0.04   0.06   0.09  11479    1.0
coeff_angles[4]    -0.03  2.5e-4   0.02  -0.08  -0.05  -0.03  -0.01   0.01   8871    1.0
coeff_angles[5]    -0.05  1.2e-4   0.02  -0.09  -0.07  -0.05  -0.04  -0.02  21550    1.0
coeff_angles[6]    -0.04  9.1e-5   0.01  -0.07  -0.05  -0.04  -0.03  -0.01  23233    1.0
coeff_angles[7]     0.01  1.1e-4   0.02  -0.02 2.9e-3   0.01   0.02   0.05  21200    1.0
coeff_angles[8]    -0.06  5.8e-4   0.05  -0.16   -0.1  -0.06  -0.03   0.04   7993    1.0
sigma_int[1]        0.14  1.0e-4   0.01   0.11   0.13   0.14   0.15   0.17  20829    1.0
outl_frac[1]        0.05  1.2e-4   0.02 8.3e-3   0.03   0.04   0.06   0.09  38816    1.0
coeff[1]            1.05  6.4e-4   0.07   0.92    1.0   1.05   1.09   1.19  11644    1.0
coeff[2]           -0.05  3.0e-4   0.04  -0.13  -0.08  -0.05  -0.03   0.02  15712    1.0
coeff[3]            0.04  2.5e-4   0.03  -0.01   0.02   0.04   0.06   0.09  11483    1.0
coeff[4]           -0.03  2.5e-4   0.02  -0.08  -0.05  -0.03  -0.01   0.01   8865    1.0
coeff[5]           -0.06  1.2e-4   0.02  -0.09  -0.07  -0.05  -0.04  -0.02  21533    1.0
coeff[6]           -0.04  9.1e-5   0.01  -0.07  -0.05  -0.04  -0.03  -0.01  23236    1.0
coeff[7]            0.01  1.1e-4   0.02  -0.02 2.9e-3   0.01   0.02   0.05  21199    1.0
coeff[8]           -0.06  5.8e-4   0.05  -0.16   -0.1  -0.06  -0.03   0.04   7989    1.0
outl_loglike[1]      4.3  3.6e-3   0.71   3.05   3.83   4.23   4.71   5.89  39251    1.0
outl_loglike[2]      4.0  3.7e-3   0.76   2.62    3.5   3.94   4.45   5.68  43616    1.0
outl_loglike[3]     4.43  3.1e-3   0.64    3.5   3.97   4.33   4.79   5.95  42928    1.0
outl_loglike[4]     4.39  3.2e-3   0.65   3.42   3.92   4.29   4.76   5.92  42042    1.0
outl_loglike[5]     3.21  5.5e-3   1.14   0.71   2.58   3.28   3.92   5.25  42785    1.0
outl_loglike[6]     4.42  3.2e-3   0.65   3.47   3.95   4.32   4.78   5.95  41647    1.0
outl_loglike[7]     4.06  3.7e-3   0.78   2.55    3.6   4.03   4.51   5.69  44218    1.0
outl_loglike[8]     4.42  3.2e-3   0.65   3.47   3.96   4.33   4.79   5.96  41581    1.0
outl_loglike[9]     4.33  3.5e-3    0.7    3.1   3.87   4.25   4.72    5.9  40543    1.0
outl_loglike[10]    4.39  3.1e-3   0.64   3.43   3.93    4.3   4.76   5.92  43241    1.0
outl_loglike[11]    4.44  3.1e-3   0.64   3.51   3.97   4.34   4.79   5.95  42527    1.0
outl_loglike[12]    4.35  3.5e-3   0.69   3.21   3.88   4.26   4.74   5.92  38983    1.0
outl_loglike[13]    4.36  3.4e-3   0.68   3.24   3.89   4.27   4.74   5.92  39287    1.0
outl_loglike[14]    4.45  3.1e-3   0.64   3.54   3.99   4.35   4.81   5.97  41716    1.0
outl_loglike[15]    4.38  3.2e-3   0.66    3.4   3.91   4.28   4.75   5.92  42235    1.0
outl_loglike[16]    4.45  3.2e-3   0.64   3.52   3.98   4.35   4.81   5.97  41401    1.0
outl_loglike[17]    4.44  3.2e-3   0.64   3.51   3.98   4.34    4.8   5.97  41392    1.0
outl_loglike[18]    4.34  3.4e-3   0.69   3.18   3.87   4.26   4.73    5.9  40606    1.0
outl_loglike[19]    3.91  3.8e-3   0.84   2.21   3.42    3.9   4.41   5.61  48794    1.0
outl_loglike[20]    4.37  3.4e-3   0.68   3.29    3.9   4.29   4.75   5.93  40056    1.0
outl_loglike[21]    4.19  3.3e-3   0.69   3.08   3.71   4.11   4.59   5.79  43862    1.0
outl_loglike[22]    4.34  3.6e-3    0.7   3.14   3.87   4.26   4.74   5.92  37622    1.0
outl_loglike[23]    3.87  3.7e-3   0.77   2.49   3.36   3.81   4.33   5.57  44339    1.0
outl_loglike[24]    4.12  3.8e-3   0.72   2.93   3.63   4.04   4.54   5.76  36421    1.0
outl_loglike[25]    4.39  3.2e-3   0.66   3.38   3.92    4.3   4.77   5.94  41678    1.0
outl_loglike[26]    3.95  3.9e-3    0.8   2.45   3.44    3.9   4.42   5.65  42835    1.0
outl_loglike[27]    4.45  3.1e-3   0.64   3.53   3.98   4.35   4.81   5.97  42200    1.0
outl_loglike[28]    4.16  3.6e-3   0.73    2.9   3.68   4.09   4.59   5.79  40831    1.0
outl_loglike[29]     4.3  3.4e-3   0.69   3.19   3.82   4.21    4.7   5.88  40773    1.0
outl_loglike[30]    4.13  3.8e-3   0.71   2.93   3.64   4.05   4.55   5.75  36290    1.0
outl_loglike[31]    4.43  3.1e-3   0.64   3.48   3.96   4.33   4.79   5.95  42223    1.0
outl_loglike[32]    3.84  4.5e-3   0.91    1.9   3.35   3.87   4.39   5.59  41041    1.0
outl_loglike[33]    4.07  3.7e-3   0.78   2.64   3.57   4.02   4.52   5.75  43307    1.0
outl_loglike[34]    4.43  3.2e-3   0.65   3.48   3.96   4.33   4.79   5.96  41168    1.0
outl_loglike[35]    3.51  5.2e-3   0.94   1.64   2.93   3.51   4.11    5.4  33192    1.0
outl_loglike[36]    4.45  3.1e-3   0.64   3.53   3.98   4.35   4.81   5.96  41994    1.0
outl_loglike[37]    4.17  3.6e-3   0.75   2.78    3.7   4.12   4.61   5.79  43829    1.0
