Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
outl_loglike[50]    4.64  2.0e-3   0.35   3.96   4.41   4.63   4.86   5.35  30078    1.0
outl_loglike[51]    4.31  4.7e-3   0.67   2.63   4.07   4.42    4.7   5.23  20817    1.0
outl_loglike[52]    4.54  2.8e-3   0.42   3.62    4.3   4.56    4.8   5.31  23323    1.0
outl_loglike[53]    4.54  2.7e-3   0.42   3.62   4.31   4.56   4.81   5.31  23985    1.0
outl_loglike[54]    4.33  4.6e-3   0.66    2.7   4.09   4.44   4.72   5.24  20829    1.0
outl_loglike[55]    4.44  3.4e-3   0.52   3.18   4.21    4.5   4.76   5.27  22737    1.0
outl_loglike[56]     4.4  3.7e-3   0.52   3.15   4.17   4.46   4.72   5.22  19411    1.0
outl_loglike[57]    4.68  1.8e-3   0.33   4.07   4.45   4.67   4.89   5.37  33543    1.0
outl_loglike[58]    4.61  2.0e-3   0.36   3.89   4.38   4.61   4.84   5.33  34348    1.0
outl_loglike[59]    4.62  1.9e-3   0.35   3.93   4.39   4.62   4.85   5.34  35046    1.0
outl_loglike[60]    4.32  2.4e-3   0.51   3.18   4.03   4.37   4.66   5.21  44537    1.0
outl_loglike[61]    4.22  4.1e-3   0.73   2.35   3.95   4.37   4.68   5.22  31886    1.0
outl_loglike[62]    4.56  2.0e-3   0.39   3.75   4.33   4.57   4.82   5.31  36672    1.0
outl_loglike[63]    4.49  2.6e-3   0.47    3.4   4.24   4.53   4.79    5.3  33139    1.0
outl_loglike[64]    4.28  2.4e-3    0.5   3.18   3.99   4.32   4.62   5.18  43015    1.0
outl_loglike[65]    4.34  2.3e-3   0.49   3.23   4.06   4.38   4.67   5.21  44928    1.0
outl_loglike[66]    4.59  2.4e-3   0.39   3.79   4.36   4.59   4.84   5.33  26081    1.0
outl_loglike[67]    4.42  2.4e-3   0.48   3.34   4.16   4.46   4.73   5.25  39841    1.0
outl_loglike[68]     4.5  2.1e-3   0.41   3.63   4.26   4.52   4.78   5.29  40530    1.0
outl_loglike[69]     4.5  3.1e-3   0.46   3.42   4.27   4.54   4.79    5.3  22244    1.0
outl_loglike[70]    4.57  2.1e-3   0.38   3.79   4.34   4.57   4.81   5.31  33492    1.0
outl_loglike[71]    4.37  4.2e-3   0.57   2.98   4.14   4.45   4.72   5.24  18576    1.0
outl_loglike[72]    4.33  2.9e-3   0.49   3.18   4.09   4.38   4.65   5.16  28762    1.0
outl_loglike[73]    4.49  3.0e-3   0.47    3.4   4.25   4.53   4.78   5.29  23505    1.0
outl_loglike[74]    4.59  2.4e-3   0.38   3.78   4.36   4.59   4.83   5.33  25544    1.0
outl_loglike[75]    3.06  3.6e-3   0.85   1.16   2.55   3.14   3.66   4.49  54782    1.0
outl_loglike[76]    4.56  2.7e-3    0.4    3.7   4.32   4.57   4.81   5.31  22738    1.0
