Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
outl_loglike[162]   3.83  5.1e-3   0.76   1.89    3.6   3.99   4.27   4.76  22485    1.0
outl_loglike[163]   4.05  3.2e-3   0.47   2.93   3.84    4.1   4.34    4.8  21803    1.0
outl_loglike[164]   4.19  1.8e-3   0.32   3.59   3.98   4.18    4.4   4.83  29429    1.0
outl_loglike[165]   3.89  4.1e-3   0.67   2.18   3.67   4.02   4.29   4.76  26663    1.0
outl_loglike[166]    3.7    0.01    1.3   1.26   3.55   3.96   4.25   4.74  15842    1.0
outl_loglike[167]   3.92  5.3e-3   0.69   2.26   3.71   4.04    4.3   4.78  17434    1.0
outl_loglike[168]   3.64  6.7e-3   1.07   1.08   3.38    3.9   4.22   4.73  25653    1.0
outl_loglike[169]   3.53  9.3e-3   1.08   1.42   3.36   3.73   4.01    4.5  13298    1.0
outl_loglike[170]   4.12  2.0e-3   0.34   3.45    3.9   4.12   4.35    4.8  28824    1.0
outl_loglike[171]   3.66    0.01   1.27   1.32   3.52   3.91   4.19   4.67  10762    1.0
outl_loglike[172]   3.79  8.4e-3   0.98   1.72   3.61   3.98   4.25   4.74  13570    1.0
outl_loglike[173]    3.7 10.0e-3   1.15   1.52   3.54   3.91   4.18   4.67  13409    1.0
outl_loglike[174]   3.92  3.2e-3   0.56   2.52   3.68   4.01   4.28   4.76  31756    1.0
outl_loglike[175]   3.78  8.7e-3   1.02   1.72   3.61   3.98   4.25   4.73  13703    1.0
outl_loglike[176]    3.4  9.4e-3   1.11   1.12   3.24   3.61   3.89   4.38  13946    1.0
outl_loglike[177]   3.66    0.01   1.27   1.36   3.52    3.9   4.18   4.67  13313    1.0
outl_loglike[178]   3.88  6.2e-3   0.76   2.13   3.69   4.03   4.29   4.76  15265    1.0
outl_loglike[179]   4.16  2.2e-3   0.35   3.41   3.95   4.17   4.38   4.83  26867    1.0
outl_loglike[180]   3.69    0.01    1.2   1.51   3.54   3.91   4.19   4.67  13066    1.0
outl_loglike[181]   4.12  2.5e-3    0.4   3.22   3.91   4.15   4.37   4.82  24661    1.0
outl_loglike[182]   3.88  3.8e-3   0.66   2.21   3.65   4.01   4.28   4.76  29313    1.0
outl_loglike[183]   3.81  7.9e-3   0.91   1.78   3.64   3.99   4.26   4.75  13034    1.0
outl_loglike[184]   3.77  9.5e-3   1.07   1.57    3.6   3.98   4.25   4.73  12804    1.0
outl_loglike[185]   3.78  8.3e-3   0.97   1.74    3.6   3.97   4.24   4.72  13404    1.0
outl_loglike[186]   4.15  2.4e-3   0.36   3.37   3.94   4.16   4.39   4.83  22670    1.0
outl_loglike[187]   3.27    0.01   1.56  -0.84   2.95    3.7   4.12   4.67  22731    1.0
outl_loglike[188]   3.95  4.6e-3    0.6   2.44   3.75   4.05   4.31   4.78  17167    1.0
outl_loglike[189]   3.86  6.2e-3   0.83   1.99   3.67   4.02   4.29   4.76  17684    1.0
outl_loglike[190]   3.92  5.0e-3   0.67   2.31   3.71   4.04   4.29   4.77  18357    1.0
outl_loglike[191]   4.26  1.9e-3   0.29   3.73   4.05   4.24   4.44   4.88  25089    1.0
outl_loglike[192]   3.51    0.01   1.19    1.2   3.36   3.74   4.02   4.51  12573    1.0
outl_loglike[193]   3.54    0.01   1.35   0.94   3.41   3.81   4.09   4.59  12327    1.0
outl_loglike[194]   3.18  5.4e-3   0.69   1.52   2.98    3.3   3.57   4.06  16567    1.0
outl_loglike[195]   3.78  7.7e-3    1.0    1.6    3.6    4.0   4.27   4.76  16884    1.0
outl_loglike[196]   3.19  5.0e-3   0.63   1.65   2.99    3.3   3.56   4.05  16062    1.0
outl_loglike[197]   3.87  5.6e-3   0.77   2.05   3.67   4.02   4.29   4.77  18913    1.0
outl_loglike[198]   4.22  1.8e-3   0.31   3.66   4.01   4.21   4.41   4.85  29054    1.0
outl_loglike[199]   3.81  7.2e-3   0.94   1.79   3.63    4.0   4.26   4.75  17063    1.0
outl_loglike[200]    3.8  8.0e-3   0.99   1.75   3.61    4.0   4.26   4.75  15205    1.0
outl_loglike[201]   3.75    0.01    1.1   1.67   3.59   3.95   4.22   4.71  11474    1.0
outl_loglike[202]   3.86  6.3e-3   0.81   2.01   3.67   4.02   4.28   4.76  16417    1.0
outl_loglike[203]    4.2  2.1e-3   0.33   3.56   3.99   4.19   4.41   4.85  23426    1.0
outl_loglike[204]   3.25  3.9e-3    0.8    1.4   2.82   3.37   3.81   4.47  41430    1.0
outl_loglike[205]   3.74    0.01   1.15   1.62   3.58   3.96   4.23   4.71  11805    1.0
outl_loglike[206]   2.33  7.7e-3   1.47  -1.51   1.68   2.62   3.33   4.25  36981    1.0
outl_loglike[207]   4.15  2.0e-3   0.34   3.46   3.93   4.15   4.37   4.81  29902    1.0
outl_loglike[208]    3.4  8.1e-3   0.91    1.4   3.22   3.58   3.85   4.34  12478    1.0
outl_loglike[209]   4.02  3.2e-3    0.5   2.78    3.8   4.08   4.33   4.79  25088    1.0
outl_loglike[210]   3.87  5.3e-3   0.75   2.04   3.67   4.02   4.28   4.77  20152    1.0
outl_loglike[211]    3.8  5.3e-3   0.81   1.79   3.58   3.98   4.26   4.75  23570    1.0
outl_loglike[212]   3.45    0.01   1.29   1.15   3.31    3.7   3.98   4.48  13709    1.0
outl_loglike[213]   3.73  3.0e-3   0.57   2.42   3.41    3.8   4.13   4.68  36088    1.0
outl_loglike[214]   3.93  3.6e-3    0.6   2.41   3.71   4.04    4.3   4.77  26772    1.0
outl_loglike[215]   3.29  7.5e-3   0.92   1.22   3.09   3.47   3.75   4.25  14751    1.0
outl_loglike[216]   2.92  3.9e-3   0.63   1.35   2.69   3.02    3.3   3.78  25569    1.0
outl_loglike[217]   4.01  4.1e-3   0.53    2.7    3.8   4.08   4.33   4.79  16845    1.0
outl_loglike[218]   4.17  2.1e-3   0.34   3.46   3.96   4.17   4.39   4.83  26987    1.0
outl_loglike[219]    3.7    0.01   1.19   1.38   3.55   3.93   4.21    4.7  13567    1.0
outl_loglike[220]   3.21  5.2e-3   0.69   1.56    3.0   3.32   3.59   4.08  17146    1.0
outl_loglike[221]    3.2  4.6e-3   0.59   1.73   2.99   3.29   3.54   4.03  16379    1.0
outl_loglike[222]   3.91  4.5e-3   0.66   2.27   3.71   4.03   4.29   4.76  21740    1.0
outl_loglike[223]   4.12  2.6e-3    0.4   3.21   3.92   4.15   4.37   4.82  22798    1.0
outl_loglike[224]   3.79  8.7e-3   1.03   1.63   3.63    4.0   4.27   4.76  14126    1.0
outl_loglike[225]   3.83  5.9e-3   0.82   1.84   3.63    4.0   4.28   4.76  19373    1.0
outl_loglike[226]   3.95  2.5e-3   0.46   2.88    3.7    4.0   4.25   4.73  35321    1.0
outl_loglike[227]   3.81  7.9e-3   0.96   1.75   3.63    4.0   4.27   4.76  14669    1.0
outl_loglike[228]   4.14  2.4e-3   0.37   3.33   3.93   4.15   4.38   4.82  23692    1.0
outl_loglike[229]   3.68    0.01   1.25   1.48   3.54   3.92   4.19   4.68  12469    1.0
outl_loglike[230]   3.71    0.01   1.18   1.57   3.55   3.92   4.19   4.69  13502    1.0
outl_loglike[231]   3.89  3.2e-3   0.57   2.45   3.63   3.98   4.25   4.74  32619    1.0
outl_loglike[232]   3.81  2.3e-3   0.43   2.91   3.54   3.83    4.1   4.62  34246    1.0
outl_loglike[233]   3.57    0.02   1.84   0.41    3.5   3.95   4.23   4.73  12746    1.0
outl_loglike[234]   3.73  4.9e-3   0.81    1.7   3.45   3.92   4.22   4.73  27378    1.0
outl_loglike[235]   3.49    0.02   1.92   0.46   3.43   3.84   4.13   4.63  11526    1.0
outl_loglike[236]   3.95  4.5e-3   0.61   2.43   3.75   4.05   4.31   4.77  18761    1.0
outl_loglike[237]   3.98  3.7e-3   0.56   2.58   3.77   4.07   4.32   4.79  23657    1.0
outl_loglike[238]   3.91  5.8e-3   0.68   2.28   3.71   4.03   4.28   4.76  13716    1.0
outl_loglike[239]   3.91  4.3e-3   0.64    2.3    3.7   4.03   4.29   4.77  22134    1.0
outl_loglike[240]   3.81  8.7e-3   0.97   1.74   3.64   4.01   4.27   4.74  12482    1.0
outl_loglike[241]   3.68    0.01   1.21   1.53   3.52    3.9   4.18   4.66  12277    1.0
outl_loglike[242]   3.81  8.2e-3   0.97   1.79   3.63    4.0   4.27   4.75  14172    1.0
outl_loglike[243]   4.07  2.4e-3   0.41   3.17   3.83   4.09   4.33    4.8  29657    1.0
outl_loglike[244]   3.73  8.8e-3   1.05   1.55   3.56   3.94   4.22    4.7  14313    1.0
outl_loglike[245]   3.82  7.6e-3   0.97   1.78   3.64   4.01   4.27   4.75  16369    1.0
outl_loglike[246]   3.66    0.01   1.33   1.31   3.53    3.9   4.17   4.66   8822    1.0
outl_loglike[247]   4.02  2.5e-3   0.44   2.99   3.79   4.07   4.31   4.78  31808    1.0
outl_loglike[248]   3.71    0.01   1.14   1.41   3.55   3.93    4.2   4.69  11492    1.0
outl_loglike[249]   3.53    0.01   1.69   0.92   3.43   3.84   4.12   4.62  12900    1.0
