Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
outl_loglike[51]    3.72    0.01   1.26   1.38   3.58   3.95   4.22   4.71  12314    1.0
outl_loglike[52]    3.52  4.2e-3   0.81    1.5   3.14   3.69   4.08   4.64  37790    1.0
outl_loglike[53]    4.14  2.6e-3   0.38   3.29   3.93   4.15   4.38   4.83  21263    1.0
outl_loglike[54]    3.85  5.1e-3   0.76   1.95   3.63    4.0   4.28   4.76  22319    1.0
outl_loglike[55]    4.06  3.2e-3   0.46   2.94   3.85   4.11   4.34    4.8  21020    1.0
outl_loglike[56]    4.02  3.8e-3   0.51   2.75   3.81   4.09   4.32   4.79  17803    1.0
outl_loglike[57]    3.79  9.1e-3   1.01    1.8   3.62   3.98   4.26   4.74  12298    1.0
outl_loglike[58]    3.74  3.6e-3   0.71   1.94   3.45   3.89    4.2   4.71  38237    1.0
outl_loglike[59]    3.97  4.1e-3   0.58   2.52   3.77   4.07   4.31   4.78  19913    1.0
outl_loglike[60]    4.04  3.4e-3   0.48   2.88   3.84   4.09   4.33   4.79  19752    1.0
outl_loglike[61]     3.7    0.01   1.24   1.42   3.55   3.93   4.21    4.7  10104    1.0
outl_loglike[62]    3.83  7.3e-3   0.89   1.86   3.64    4.0   4.27   4.74  14627    1.0
outl_loglike[63]    2.84    0.02   3.05   -6.4   2.85   3.73   4.14   4.69  15107    1.0
outl_loglike[64]    3.58 10.0e-3   1.35   0.43   3.38   3.92   4.23   4.73  18292    1.0
outl_loglike[65]    3.47  3.8e-3   0.77   1.62   3.08    3.6    4.0   4.59  40116    1.0
outl_loglike[66]    3.94  4.9e-3   0.64   2.36   3.74   4.05    4.3   4.78  17302    1.0
outl_loglike[67]    3.85  6.8e-3   0.85   1.86   3.67   4.02   4.28   4.77  15717    1.0
outl_loglike[68]     3.4  8.3e-3    0.9   1.47   3.21   3.57   3.84   4.34  11812    1.0
outl_loglike[69]    2.13  4.0e-3   0.83    0.3   1.64   2.19   2.69   3.57  42781    1.0
outl_loglike[70]    3.38  8.3e-3    1.0   1.31    3.2   3.57   3.84   4.34  14517    1.0
outl_loglike[71]    3.45  8.3e-3   0.95   1.39   3.28   3.64   3.91    4.4  12971    1.0
outl_loglike[72]    3.65  9.5e-3   1.22    1.4    3.5   3.88   4.16   4.65  16646    1.0
outl_loglike[73]    3.53    0.01   1.28   1.14    3.4   3.78   4.05   4.55  12681    1.0
outl_loglike[74]     3.8  7.7e-3    1.0   1.78   3.62    4.0   4.27   4.75  16753    1.0
outl_loglike[75]    3.77  3.6e-3   0.67   2.08   3.48    3.9    4.2   4.71  34805    1.0
outl_loglike[76]    3.49  2.7e-3   0.53   2.32   3.18   3.53   3.86   4.41  39353    1.0
outl_loglike[77]     4.2  2.0e-3   0.32   3.58   3.99   4.19   4.41   4.84  26397    1.0
outl_loglike[78]     3.8  8.8e-3   1.04   1.74   3.63   3.99   4.26   4.74  14059    1.0
outl_loglike[79]    3.43  8.7e-3   0.97   1.34   3.25   3.61   3.89   4.38  12273    1.0
outl_loglike[80]    3.62    0.01   1.53   1.13    3.5    3.9   4.18   4.67  11078    1.0
outl_loglike[81]    3.97  4.7e-3   0.59   2.52   3.77   4.07   4.32   4.79  15765    1.0
outl_loglike[82]    3.56    0.01   1.44   1.16   3.43   3.83   4.11    4.6  11892    1.0
outl_loglike[83]    3.93  4.5e-3   0.64   2.31   3.72   4.05    4.3   4.77  20124    1.0
outl_loglike[84]    3.09  5.6e-3   1.14   0.26   2.58   3.34   3.87   4.53  40795    1.0
outl_loglike[85]     2.0  6.1e-3   1.15  -0.67   1.36   2.14    2.8   3.85  35850    1.0
outl_loglike[86]    3.94  5.0e-3   0.64   2.34   3.74   4.05   4.31   4.77  16197    1.0
outl_loglike[87]    4.03  2.7e-3   0.46   2.91   3.81   4.08   4.32   4.78  29202    1.0
outl_loglike[88]    3.58    0.01   1.11   1.42   3.41   3.79   4.06   4.56  11900    1.0
outl_loglike[89]    4.08  2.9e-3   0.44   3.02   3.87   4.12   4.35   4.81  23890    1.0
outl_loglike[90]     3.1  6.2e-3   0.81   1.18    2.9   3.25   3.53   4.04  16941    1.0
outl_loglike[91]    4.03  1.9e-3   0.35   3.32   3.81   4.03   4.26   4.72  34126    1.0
outl_loglike[92]    3.99  3.0e-3   0.52   2.72   3.77   4.07   4.32   4.79  29129    1.0
outl_loglike[93]    3.82  3.5e-3   0.65   2.19   3.55   3.95   4.24   4.73  35412    1.0
outl_loglike[94]    3.78  9.6e-3   1.15   1.58   3.62   3.99   4.26   4.75  14283    1.0
outl_loglike[95]    3.91  2.7e-3   0.46   2.92   3.63   3.94   4.22   4.74  28942    1.0
outl_loglike[96]    4.12  2.8e-3    0.4    3.2   3.91   4.14   4.37   4.83  20531    1.0
outl_loglike[97]    3.64    0.01   1.32   1.35   3.51   3.88   4.16   4.65  11339    1.0
outl_loglike[98]    3.29  6.4e-3   0.77   1.48    3.1   3.43    3.7   4.19  14814    1.0
outl_loglike[99]    3.52    0.01   1.84  -0.17   3.42   3.92   4.23   4.73  15637    1.0
outl_loglike[100]   4.01  3.9e-3   0.53   2.69   3.79   4.08   4.32   4.79  18032    1.0
outl_loglike[101]   3.36  9.4e-3   1.03   1.21   3.19   3.56   3.84   4.33  12019    1.0
outl_loglike[102]   4.03  2.6e-3   0.46   2.95   3.81   4.07   4.32   4.78  30830    1.0
outl_loglike[103]   3.16  6.7e-3   1.23   0.04   2.69   3.45   3.96    4.6  33565    1.0
outl_loglike[104]   3.54  9.3e-3   1.04   1.38   3.37   3.74   4.02   4.51  12455    1.0
outl_loglike[105]   3.92  5.1e-3   0.68   2.29   3.73   4.05    4.3   4.77  17515    1.0
outl_loglike[106]   3.63    0.01   1.42   1.16   3.51    3.9   4.18   4.66  10456    1.0
outl_loglike[107]   3.83  7.1e-3    0.9   1.83   3.64   4.01   4.27   4.76  16148    1.0
outl_loglike[108]   3.66 10.0e-3   1.21   1.43   3.51   3.89   4.16   4.65  14604    1.0
outl_loglike[109]   3.91  5.9e-3   0.71   2.25   3.71   4.04    4.3   4.77  14468    1.0
outl_loglike[110]   3.76  9.3e-3   1.12   1.63    3.6   3.97   4.24   4.72  14409    1.0
outl_loglike[111]   3.95  4.4e-3   0.62   2.41   3.74   4.05   4.31   4.78  19442    1.0
outl_loglike[112]    3.6    0.01   1.28   1.28   3.46   3.85   4.13   4.61  12093    1.0
outl_loglike[113]   3.72    0.01   1.31   1.41   3.57   3.97   4.24   4.73  14268    1.0
outl_loglike[114]   4.05  2.8e-3   0.46   2.95   3.83    4.1   4.34    4.8  26265    1.0
outl_loglike[115]   4.06  3.0e-3   0.46   2.97   3.85   4.11   4.35    4.8  23738    1.0
outl_loglike[116]   3.87  6.9e-3    0.8    2.0   3.67   4.02   4.29   4.76  13464    1.0
outl_loglike[117]   3.61    0.01   1.54   1.11   3.49   3.89   4.17   4.66  13648    1.0
outl_loglike[118]   4.07  3.2e-3   0.46   2.98   3.86   4.11   4.35   4.81  20894    1.0
outl_loglike[119]   3.49    0.01   1.16   1.21   3.34   3.71   3.99   4.47  11478    1.0
outl_loglike[120]    3.3  7.6e-3   0.88   1.34   3.12   3.47   3.74   4.24  13288    1.0
outl_loglike[121]   3.44  7.4e-3   0.88   1.45   3.25   3.61   3.88   4.37  14075    1.0
outl_loglike[122]   4.07  2.9e-3   0.44   3.01   3.86   4.11   4.34    4.8  23116    1.0
outl_loglike[123]   3.87  5.4e-3   0.76    2.1   3.68   4.02   4.28   4.76  19800    1.0
outl_loglike[124]   3.51  6.6e-3    1.1   0.82   3.19   3.79   4.15   4.69  27329    1.0
outl_loglike[125]   3.15  5.8e-3   0.77   1.24   2.95    3.3   3.58   4.08  17433    1.0
outl_loglike[126]   3.96  4.2e-3    0.6   2.43   3.75   4.06   4.31   4.79  20362    1.0
